,h11_pred,h11_true,h21_pred,h21_true
0,10,10,20,19
1,9,9,24,23
2,7,7,31,31
3,8,8,22,23
4,10,10,20,21
5,4,4,52,52
6,7,7,37,37
7,4,4,40,42
8,9,10,22,22
9,8,8,26,27
10,8,8,29,27
11,8,8,32,31
12,7,7,30,30
13,7,7,27,27
14,6,6,33,32
15,7,7,29,29
16,8,8,24,24
17,10,10,22,21
18,7,7,35,32
19,8,8,22,23
20,5,5,51,43
21,5,5,33,33
22,9,9,25,26
23,9,10,23,22
24,8,8,26,25
25,15,15,15,18
26,11,11,19,19
27,6,6,33,31
28,10,11,19,18
29,7,7,34,32
30,8,8,32,33
31,9,9,21,21
32,9,9,24,24
33,8,8,32,31
34,6,6,31,32
35,8,8,25,25
36,7,8,26,28
37,7,7,27,26
38,6,6,32,32
39,5,3,45,42
40,3,2,52,53
41,4,4,38,41
42,7,7,29,29
43,9,9,21,22
44,8,8,22,22
45,6,8,26,27
46,7,7,25,24
47,4,4,44,45
48,10,10,22,24
49,8,8,28,28
50,8,8,25,24
51,6,6,30,30
52,8,9,21,22
53,8,8,29,28
54,9,10,20,19
55,3,3,51,53
56,8,8,28,30
57,7,7,31,28
58,5,5,33,33
59,8,8,23,22
60,7,7,27,27
61,4,4,31,30
62,6,6,34,33
63,6,6,24,25
64,8,8,23,26
65,4,4,48,47
66,8,8,24,24
67,12,14,16,18
68,8,8,24,24
69,5,5,39,40
70,4,4,43,44
71,11,11,19,20
72,9,9,23,25
73,5,5,35,34
74,6,6,26,28
75,8,8,25,25
76,11,11,21,20
77,7,8,29,28
78,5,5,29,30
79,9,9,23,22
80,8,9,21,23
81,7,7,23,23
82,11,12,18,18
83,10,10,20,21
84,7,7,47,47
85,5,5,35,34
86,6,6,34,35
87,7,7,29,29
88,9,9,21,22
89,6,6,28,26
90,8,6,24,24
91,7,9,25,27
92,11,11,19,20
93,8,8,28,25
94,6,6,34,34
95,7,7,29,28
96,8,8,24,24
97,6,6,24,25
98,4,4,39,39
99,10,10,20,20
100,7,7,38,36
101,3,3,55,54
102,9,9,21,21
103,8,8,25,25
104,7,7,23,25
105,11,11,19,20
106,8,8,24,25
107,6,6,45,46
108,5,5,37,37
109,7,7,28,27
110,10,10,20,20
111,8,8,25,25
112,7,7,25,27
113,6,6,25,25
114,8,8,26,25
115,6,6,34,34
116,8,8,22,22
117,6,6,35,34
118,9,9,22,22
119,7,7,25,25
120,4,4,38,37
121,9,10,22,23
122,11,11,19,21
123,9,9,21,22
124,10,11,19,20
125,6,6,32,31
126,9,9,24,25
127,7,7,29,28
128,8,8,28,26
129,6,6,33,33
130,6,6,30,29
131,7,8,28,29
132,6,6,32,31
133,9,9,21,22
134,11,12,18,20
135,7,7,38,37
136,10,10,26,27
137,9,9,27,26
138,8,9,21,22
139,10,10,20,22
140,10,10,20,19
141,7,7,31,30
142,7,7,32,32
143,10,11,19,20
144,7,7,27,27
145,5,5,37,35
146,6,6,36,35
147,9,9,23,23
148,7,7,25,25
149,7,7,31,28
150,8,8,25,24
151,7,7,29,30
152,5,5,31,32
153,9,9,21,22
154,7,7,27,27
155,7,9,27,30
156,7,7,31,31
157,9,9,21,21
158,9,10,22,22
159,7,7,29,26
160,6,6,32,32
161,9,9,25,25
162,7,7,33,33
163,7,7,27,27
164,10,11,25,23
165,6,6,36,38
166,2,1,73,65
167,4,4,47,46
168,8,8,40,37
169,7,7,37,37
170,7,7,27,27
171,6,6,29,28
172,7,7,31,34
173,8,8,24,25
174,7,7,32,32
175,7,7,29,29
176,11,10,30,27
177,10,11,19,21
178,12,11,19,18
179,7,7,35,35
180,10,10,20,21
181,7,7,35,33
182,8,8,22,22
183,10,10,20,20
184,8,8,24,23
185,7,7,41,42
186,8,8,22,23
187,6,6,32,32
188,7,7,34,34
189,7,7,34,35
190,8,8,22,22
191,6,6,40,41
192,5,5,39,38
193,12,12,18,17
194,12,12,18,18
195,9,9,22,22
196,8,8,22,25
197,5,5,34,33
198,3,3,49,49
199,10,10,22,23
200,8,8,28,28
201,7,7,26,26
202,7,7,28,26
203,9,9,21,21
204,6,6,36,35
205,10,10,20,20
206,10,10,22,22
207,8,8,22,22
208,8,8,32,30
209,7,7,26,25
210,7,7,37,36
211,10,10,23,22
212,6,6,34,33
213,8,7,28,27
214,5,5,35,34
215,8,8,24,25
216,6,6,41,41
217,5,5,31,32
218,11,11,19,20
219,6,6,40,39
220,4,4,40,40
221,10,10,20,20
222,7,7,29,27
223,7,7,23,25
224,6,6,30,29
225,6,6,28,27
226,6,6,32,33
227,9,9,22,23
228,6,6,30,29
229,4,4,49,50
230,10,11,19,20
231,10,10,22,21
232,13,14,16,19
233,10,10,22,22
234,6,6,33,34
235,5,5,39,39
236,8,8,25,25
237,6,6,25,25
238,8,8,25,25
239,11,12,20,19
240,10,10,21,21
241,7,7,31,30
242,4,4,52,51
243,7,7,23,26
244,6,5,47,41
245,6,6,28,27
246,5,4,44,42
247,9,9,23,22
248,5,5,31,34
249,7,7,29,28
250,9,9,21,21
251,4,4,34,33
252,7,7,29,29
253,6,6,31,31
254,4,4,36,37
255,10,10,22,22
256,6,6,34,34
257,6,6,28,29
258,8,8,28,29
259,6,6,32,35
260,5,5,37,37
261,6,6,33,30
262,10,10,22,22
263,7,7,26,26
264,7,7,26,26
265,10,10,21,21
266,8,8,35,37
267,7,14,22,27
268,6,6,28,27
269,9,9,25,25
270,6,6,34,34
271,5,5,35,34
272,9,10,20,23
273,13,13,17,19
274,5,5,27,28
275,10,9,21,20
276,4,4,36,36
277,9,9,25,27
278,7,7,31,31
279,5,5,33,32
280,5,5,36,36
281,10,11,19,20
282,8,8,31,30
283,8,8,26,25
284,6,6,32,34
285,5,5,34,35
286,4,4,44,42
287,5,5,28,28
288,5,5,45,46
289,9,9,21,22
290,5,5,33,33
291,4,4,40,39
292,10,10,20,23
293,6,6,26,27
294,7,7,29,28
295,9,9,25,26
296,5,5,43,44
297,6,6,36,35
298,6,6,27,27
299,6,6,34,34
300,6,6,28,28
301,5,5,34,33
302,9,9,21,21
303,9,10,24,24
304,6,6,36,36
305,4,4,50,49
306,8,9,26,24
307,4,4,42,43
308,8,8,28,25
309,5,5,37,37
310,9,9,25,26
311,11,11,21,21
312,11,11,19,19
313,7,7,23,24
314,14,14,18,17
315,10,10,22,22
316,10,10,22,22
317,4,4,44,44
318,11,11,19,20
319,4,4,36,36
320,8,8,28,29
321,7,8,25,26
322,11,13,17,20
323,10,11,21,21
324,6,7,31,31
325,8,8,24,24
326,6,6,35,35
327,8,8,26,24
328,10,10,24,23
329,8,8,22,25
330,11,11,23,20
331,5,5,45,40
332,8,8,28,25
333,8,8,22,22
334,6,6,43,42
335,6,6,28,26
336,7,7,29,27
337,11,12,18,19
338,6,6,30,29
339,5,5,36,34
340,5,5,27,28
341,6,6,29,31
342,4,4,44,45
343,11,11,19,20
344,7,7,26,25
345,9,9,23,23
346,4,4,35,34
347,7,7,23,24
348,6,6,30,29
349,7,7,25,26
350,7,7,26,26
351,6,6,30,29
352,13,14,18,19
353,13,13,17,16
354,11,11,19,18
355,9,9,21,21
356,7,7,23,24
357,8,8,28,28
358,6,6,30,31
359,6,7,31,28
360,5,5,27,27
361,10,11,20,19
362,6,6,29,27
363,4,4,30,29
364,7,7,27,29
365,8,8,25,24
366,5,5,37,39
367,10,11,19,19
368,4,4,34,35
369,8,8,30,28
370,6,6,31,32
371,9,9,21,23
372,9,11,19,20
373,6,6,42,38
374,7,7,23,24
375,9,9,23,23
376,12,12,18,18
377,8,8,22,22
378,13,12,18,19
379,10,10,20,21
380,7,7,31,31
381,7,7,29,30
382,5,5,37,39
383,10,11,19,20
384,8,8,24,23
385,4,4,52,49
386,9,9,22,21
387,5,5,31,31
388,8,8,24,24
389,11,11,19,20
390,6,6,33,34
391,6,6,30,32
392,7,7,29,28
393,11,10,22,20
394,6,6,34,33
395,7,7,31,30
396,6,6,30,31
397,9,9,33,30
398,10,11,19,20
399,7,7,37,36
400,4,4,40,39
401,6,6,38,37
402,6,6,34,32
403,7,7,30,30
404,5,5,29,30
405,8,8,28,27
406,9,9,21,22
407,8,8,23,24
408,7,7,25,24
409,6,6,43,45
410,7,7,37,38
411,8,8,34,29
412,7,6,36,34
413,8,8,28,28
414,7,7,33,32
415,9,9,23,24
416,7,7,29,26
417,7,8,30,29
418,5,6,34,37
419,5,5,41,43
420,10,10,21,21
421,8,9,29,28
422,10,10,21,21
423,5,5,43,44
424,6,6,31,31
425,8,8,22,22
426,6,8,40,39
427,7,7,27,28
428,6,6,30,30
429,7,7,24,24
430,5,5,36,36
431,11,11,19,20
432,7,7,25,25
433,6,6,36,36
434,7,7,23,24
435,8,7,27,30
436,7,7,24,23
437,9,9,24,24
438,8,8,22,23
439,6,6,36,36
440,6,6,34,33
441,8,8,24,25
442,7,7,33,32
443,9,9,21,22
444,8,8,26,26
445,6,6,42,42
446,4,4,30,33
