,h11_pred,h11_true,h21_pred,h21_true
0,4,4,44,43
1,10,9,23,23
2,9,10,20,22
3,11,11,20,19
4,5,5,33,35
5,9,9,23,23
6,5,4,32,35
7,5,5,49,49
8,7,6,30,32
9,10,9,24,22
10,8,8,25,24
11,9,10,20,21
12,8,8,28,28
13,9,8,26,24
14,10,10,22,21
15,9,9,23,21
16,5,5,29,31
17,5,4,32,34
18,10,9,24,23
19,8,8,26,27
20,9,9,24,21
21,9,9,25,24
22,7,7,23,23
23,9,9,21,20
24,6,5,35,35
25,4,4,46,44
26,6,6,27,28
27,6,6,30,31
28,6,6,33,34
29,7,7,27,25
30,7,7,30,28
31,7,7,23,25
32,6,4,38,39
33,6,6,24,26
34,8,8,31,29
35,5,5,31,30
36,8,8,22,24
37,3,3,45,47
38,9,9,25,27
39,10,10,20,20
40,9,9,23,22
41,8,8,22,26
42,8,7,23,22
43,8,8,26,24
44,4,4,38,35
45,10,10,22,24
46,10,11,22,23
47,6,5,29,28
48,7,7,23,27
49,7,7,25,25
50,6,6,33,33
51,6,6,28,28
52,8,8,32,30
53,5,5,35,35
54,9,8,26,26
55,12,19,19,26
56,11,11,19,20
57,7,7,31,31
58,8,9,25,25
59,7,7,27,25
60,8,8,28,27
61,7,7,33,33
62,7,7,29,30
63,9,9,25,23
64,10,9,21,22
65,8,8,25,24
66,8,8,23,24
67,8,7,26,26
68,10,10,22,22
69,6,6,36,38
70,6,6,26,27
71,13,13,17,16
72,5,5,55,55
73,8,11,23,25
74,7,8,40,43
75,6,6,29,28
76,5,6,42,37
77,7,7,34,32
78,11,11,19,19
79,7,7,35,33
80,7,7,25,24
81,3,3,63,49
82,7,7,33,32
83,5,5,37,37
84,6,6,30,30
85,5,5,39,36
86,10,10,20,20
87,7,7,31,30
88,7,7,27,30
89,6,6,36,35
90,8,8,22,23
91,11,11,19,19
92,7,7,29,30
93,9,9,21,21
94,7,7,31,29
95,6,6,36,34
96,9,9,24,24
97,13,14,16,18
98,9,9,25,23
99,10,10,22,21
100,6,6,45,47
101,6,6,29,31
102,9,8,23,23
103,11,10,22,20
104,6,6,31,33
105,5,5,33,33
106,12,12,18,19
107,10,11,19,20
108,5,5,33,33
109,6,6,32,33
110,7,7,23,25
111,3,4,54,56
112,9,10,20,22
113,8,8,28,26
114,9,9,22,23
115,9,9,23,21
116,6,5,31,30
117,11,11,19,21
118,6,6,31,32
119,8,11,31,28
120,8,8,25,28
121,8,8,42,35
122,5,5,41,36
123,5,5,31,31
124,9,8,28,26
125,7,7,27,26
126,9,9,23,25
127,8,8,26,26
128,10,10,20,22
129,6,6,38,37
130,6,6,37,35
131,5,5,33,31
132,8,8,28,27
133,6,9,21,27
134,10,10,20,20
135,9,9,24,24
136,9,8,28,29
137,5,5,31,29
138,7,7,26,26
139,9,9,22,22
140,8,8,24,24
141,8,8,31,31
142,11,11,19,19
143,7,7,28,29
144,6,5,41,42
145,5,4,35,36
146,5,5,37,34
147,6,6,28,30
148,6,7,23,26
149,4,3,47,43
150,7,7,23,25
151,8,9,27,26
152,4,4,40,41
153,7,7,27,26
154,10,10,20,20
155,6,6,26,28
156,11,12,18,21
157,8,8,25,26
158,8,8,22,23
159,9,9,21,23
160,6,6,29,29
161,9,9,23,23
162,8,8,24,24
163,8,8,22,23
164,7,7,43,43
165,7,6,26,26
166,5,5,37,38
167,9,9,21,21
168,6,6,31,28
169,8,8,22,23
170,5,5,37,34
171,7,7,28,27
172,8,9,36,36
173,6,6,26,26
174,5,6,42,40
175,7,7,25,25
176,3,3,45,46
177,8,7,26,25
178,7,7,29,28
179,8,8,31,31
180,5,5,29,29
181,6,6,34,34
182,7,7,41,35
183,7,7,27,28
184,11,11,21,21
185,7,7,29,26
186,11,11,19,19
187,6,6,28,29
188,7,6,26,26
189,8,8,22,23
190,11,12,18,18
191,10,10,23,20
192,9,9,23,23
193,8,8,26,27
194,9,9,21,24
195,10,10,20,21
196,7,7,27,29
197,8,8,26,25
198,9,9,21,21
199,22,0,0,15
200,9,9,21,22
201,8,8,29,25
202,6,6,28,26
203,7,7,31,29
204,5,5,31,33
205,11,12,18,19
206,5,5,61,59
207,5,5,37,37
208,5,4,34,33
209,4,4,49,51
210,7,7,25,25
211,9,9,25,26
