,h11_pred,h11_true
0,4,4
1,9,9
2,10,10
3,11,11
4,5,5
5,9,9
6,4,4
7,5,5
8,6,6
9,9,9
10,8,8
11,10,10
12,8,8
13,8,8
14,10,10
15,9,9
16,5,5
17,4,4
18,9,9
19,8,8
20,9,9
21,9,9
22,7,7
23,9,9
24,5,5
25,4,4
26,6,6
27,6,6
28,6,6
29,7,7
30,7,7
31,7,7
32,4,4
33,6,6
34,8,8
35,5,5
36,8,8
37,3,3
38,9,9
39,10,10
40,9,9
41,9,8
42,7,7
43,8,8
44,4,4
45,10,10
46,11,11
47,5,5
48,7,7
49,7,7
50,6,6
51,6,6
52,8,8
53,5,5
54,8,8
55,14,19
56,11,11
57,7,7
58,9,9
59,7,7
60,8,8
61,7,7
62,7,7
63,9,9
64,9,9
65,8,8
66,8,8
67,7,7
68,10,10
69,6,6
70,6,6
71,13,13
72,5,5
73,10,11
74,8,8
75,6,6
76,6,6
77,7,7
78,10,11
79,7,7
80,7,7
81,2,3
82,7,7
83,5,5
84,6,6
85,5,5
86,10,10
87,7,7
88,7,7
89,6,6
90,8,8
91,11,11
92,7,7
93,9,9
94,7,7
95,6,6
96,9,9
97,14,14
98,9,9
99,10,10
100,6,6
101,6,6
102,8,8
103,10,10
104,6,6
105,5,5
106,12,12
107,11,11
108,5,5
109,6,6
110,7,7
111,4,4
112,10,10
113,8,8
114,9,9
115,9,9
116,5,5
117,11,11
118,6,6
119,10,11
120,8,8
121,8,8
122,5,5
123,5,5
124,8,8
125,7,7
126,9,9
127,8,8
128,10,10
129,6,6
130,6,6
131,5,5
132,8,8
133,6,9
134,10,10
135,9,9
136,8,8
137,5,5
138,7,7
139,9,9
140,8,8
141,8,8
142,11,11
143,7,7
144,5,5
145,4,4
146,5,5
147,6,6
148,7,7
149,3,3
150,7,7
151,9,9
152,4,4
153,7,7
154,10,10
155,6,6
156,12,12
157,8,8
158,8,8
159,9,9
160,6,6
161,9,9
162,8,8
163,8,8
164,8,7
165,6,6
166,5,5
167,9,9
168,6,6
169,8,8
170,5,5
171,7,7
172,9,9
173,6,6
174,6,6
175,7,7
176,3,3
177,7,7
178,7,7
179,8,8
180,5,5
181,6,6
182,7,7
183,7,7
184,11,11
185,7,7
186,11,11
187,6,6
188,6,6
189,8,8
190,11,12
191,10,10
192,9,9
193,8,8
194,9,9
195,10,10
196,7,7
197,8,8
198,9,9
199,25,0
200,9,9
201,8,8
202,6,6
203,7,7
204,5,5
205,12,12
206,5,5
207,5,5
208,4,4
209,4,4
210,7,7
211,9,9
212,6,6
213,6,6
214,8,8
215,5,5
216,6,6
217,6,6
218,13,13
219,5,4
220,7,7
221,8,8
222,7,7
223,11,11
224,8,8
225,8,8
226,12,12
227,7,7
228,8,8
229,6,6
230,12,12
231,8,8
232,8,7
233,4,4
234,7,7
235,4,4
236,10,10
237,5,5
238,8,8
239,6,6
240,9,9
241,10,9
242,7,7
243,9,9
244,5,5
245,7,7
246,4,4
247,7,7
248,9,9
249,11,11
250,6,6
251,3,3
252,7,7
253,11,11
254,10,12
255,6,6
256,5,5
257,11,11
258,8,8
259,9,9
260,6,6
261,6,6
262,9,9
263,9,9
264,6,6
265,3,3
266,7,7
267,5,5
268,7,7
269,7,7
270,6,6
271,10,10
272,7,7
273,6,6
274,4,4
275,10,10
276,6,6
277,8,8
278,8,8
279,6,6
280,8,8
281,13,13
282,8,8
283,4,4
284,9,9
285,2,2
286,11,11
287,6,6
288,6,6
289,7,7
290,8,8
291,3,2
292,5,5
293,7,7
294,8,8
295,3,3
296,4,4
297,5,5
298,7,7
299,7,7
300,5,5
301,9,9
302,9,9
303,8,8
304,6,6
305,7,7
306,7,7
307,6,6
308,5,5
309,6,6
310,6,6
311,4,4
312,5,5
313,10,10
314,6,6
315,9,9
316,12,12
317,5,5
318,7,7
319,8,8
320,9,9
321,7,7
322,8,8
323,5,5
324,8,8
325,5,5
326,7,7
327,8,8
328,8,8
329,3,3
330,5,5
331,9,9
332,8,8
333,5,5
334,8,8
335,10,10
336,10,11
337,8,8
338,5,5
339,7,7
340,8,8
341,8,8
342,9,9
343,11,11
344,8,8
345,5,5
346,3,3
347,5,5
348,7,7
349,7,7
350,10,10
351,7,7
352,5,5
353,5,5
354,7,7
355,7,7
356,11,11
357,9,9
358,8,8
359,4,4
360,8,8
361,9,9
362,9,9
363,9,9
364,4,4
365,7,7
366,7,7
367,13,14
368,9,9
369,7,7
370,9,9
371,11,12
372,6,6
373,9,9
374,7,7
375,5,5
376,9,9
377,6,6
378,12,13
379,8,8
380,8,8
381,5,5
382,7,7
383,10,10
384,7,7
385,8,8
386,8,8
387,10,10
388,8,9
389,9,9
390,9,9
391,8,8
392,7,7
393,8,8
394,6,6
395,8,8
396,9,9
397,10,10
398,7,7
399,9,9
400,12,0
401,9,9
402,8,8
403,5,5
404,6,6
405,9,10
406,3,2
407,9,9
408,7,7
409,6,6
410,8,8
411,10,10
412,7,7
413,6,6
414,10,10
415,11,11
416,7,7
417,8,8
418,10,10
419,10,10
420,10,10
421,7,7
422,7,7
423,9,9
424,7,7
425,8,8
426,8,8
427,9,9
428,8,8
429,6,6
430,8,8
431,6,6
432,6,6
433,9,9
434,10,10
435,10,10
436,6,6
437,10,10
438,8,8
439,9,9
440,8,8
441,6,6
442,6,6
443,7,7
444,6,6
445,9,9
446,8,8
447,9,9
448,8,8
449,7,7
450,8,8
451,13,12
452,10,10
453,7,7
454,9,9
455,7,7
456,8,8
457,7,7
458,12,13
459,4,4
460,4,4
461,7,7
462,9,10
463,10,11
464,9,9
465,5,5
466,5,5
467,6,6
468,7,7
469,10,10
470,10,10
471,10,10
472,5,5
473,9,9
474,10,10
475,9,9
476,4,4
477,6,6
478,9,9
479,11,11
480,7,7
481,5,5
482,9,9
483,9,9
484,11,11
485,5,5
486,3,3
487,8,8
488,6,6
489,10,10
490,10,10
491,9,9
492,9,9
493,5,5
494,4,4
495,8,8
496,11,12
497,9,9
498,9,9
499,10,10
500,6,6
501,3,3
502,11,11
503,8,8
504,6,6
505,10,10
506,6,6
507,10,10
508,9,9
509,7,7
510,7,7
511,6,6
512,6,6
513,7,7
514,7,7
515,6,5
516,5,5
517,10,10
518,5,5
519,7,7
520,6,6
521,5,5
522,9,9
523,5,5
