,h11_pred,h11_true,h21_pred,h21_true
0,10,10,20,19
1,9,9,24,23
2,7,7,31,29
3,8,8,22,25
4,10,10,20,20
5,4,4,52,50
6,7,7,37,38
7,4,4,40,41
8,9,10,22,25
9,8,8,26,28
10,8,8,29,26
11,8,8,32,31
12,7,7,30,28
13,7,7,27,27
14,6,6,33,32
15,7,7,29,28
16,8,8,24,24
17,9,10,22,21
18,7,7,35,33
19,9,8,22,22
20,5,5,51,42
21,5,5,33,33
22,9,9,25,25
23,8,10,23,24
24,8,8,26,23
25,12,15,15,19
26,10,11,19,20
27,6,6,33,31
28,8,11,19,19
29,7,7,34,32
30,7,8,32,32
31,10,9,21,21
32,9,9,24,23
33,8,8,32,29
34,6,6,31,32
35,8,8,25,24
36,7,8,26,26
37,7,7,27,26
38,6,6,32,32
39,4,3,45,44
40,3,2,52,51
41,5,4,38,36
42,7,7,29,26
43,9,9,21,22
44,8,8,22,22
45,6,8,26,27
46,7,7,25,26
47,4,4,44,44
48,10,10,22,23
49,9,8,28,26
50,8,8,25,24
51,6,6,30,31
52,9,9,21,19
53,8,8,29,29
54,9,10,20,20
55,3,3,51,53
56,7,8,28,30
57,7,7,31,26
58,5,5,33,34
59,8,8,23,24
60,7,7,27,27
61,4,4,31,33
62,6,6,34,34
63,6,6,24,26
64,8,8,23,26
65,4,4,48,46
66,8,8,24,25
67,13,14,16,18
68,9,8,24,21
69,5,5,39,38
70,4,4,43,45
71,11,11,19,21
72,8,9,23,25
73,5,5,35,35
74,6,6,26,28
75,8,8,25,25
76,9,11,21,21
77,8,8,29,28
78,6,5,29,30
79,9,9,23,24
80,7,9,21,25
81,7,7,23,24
82,12,12,18,17
83,10,10,20,20
84,5,7,47,51
85,5,5,35,32
86,6,6,34,34
87,7,7,29,28
88,8,9,21,20
89,6,6,28,27
90,7,6,24,25
91,8,9,25,26
92,10,11,19,19
93,8,8,28,25
94,6,6,34,31
95,7,7,29,28
96,8,8,24,23
97,6,6,24,26
98,4,4,39,37
99,10,10,20,19
100,7,7,38,34
101,3,3,55,52
102,9,9,21,22
103,7,8,25,25
104,7,7,23,28
105,10,11,19,22
106,8,8,24,26
107,6,6,45,44
108,5,5,37,36
109,6,7,28,26
110,8,10,20,21
111,8,8,25,26
112,7,7,25,28
113,6,6,25,27
114,7,8,26,24
115,6,6,34,32
116,8,8,22,23
117,5,6,35,34
118,9,9,22,22
119,8,7,25,26
120,5,4,38,35
121,9,10,22,23
122,11,11,19,21
123,9,9,21,23
124,10,11,19,19
125,6,6,32,30
126,7,9,24,25
127,7,7,29,28
128,8,8,28,27
129,6,6,33,35
130,6,6,30,35
131,7,8,28,27
132,6,6,32,31
133,9,9,21,23
134,12,12,18,20
135,6,7,38,34
136,10,10,26,25
137,8,9,27,26
138,8,9,21,24
139,9,10,20,22
140,10,10,20,19
141,7,7,31,28
142,7,7,32,30
143,10,11,19,19
144,6,7,27,28
145,5,5,37,34
146,6,6,36,36
147,9,9,23,23
148,7,7,25,26
149,7,7,31,28
150,8,8,25,26
151,7,7,29,27
152,5,5,31,29
153,8,9,21,24
154,7,7,27,27
155,7,9,27,29
156,6,7,31,30
157,9,9,21,21
158,10,10,22,21
159,7,7,29,25
160,6,6,32,33
161,8,9,25,25
162,7,7,33,31
163,7,7,27,28
164,10,11,25,23
165,6,6,36,37
166,1,1,73,69
167,4,4,47,46
168,7,8,40,36
169,7,7,37,32
170,8,7,27,26
171,7,6,29,30
172,8,7,31,33
173,8,8,24,25
174,7,7,32,30
175,7,7,29,30
176,10,10,30,22
177,9,11,19,20
178,11,11,19,20
179,7,7,35,34
180,10,10,20,19
181,7,7,35,33
182,9,8,22,22
183,10,10,20,21
184,8,8,24,23
185,7,7,41,38
186,8,8,22,22
187,6,6,32,31
188,7,7,34,34
189,6,7,34,34
190,8,8,22,22
191,6,6,40,38
192,5,5,39,35
193,11,12,18,20
194,13,12,18,18
195,9,9,22,21
196,7,8,22,28
197,5,5,34,33
198,3,3,49,47
199,11,10,22,23
200,9,8,28,27
201,7,7,26,27
202,7,7,28,27
203,10,9,21,18
204,6,6,36,33
205,10,10,20,20
206,9,10,22,26
207,9,8,22,23
208,8,8,32,28
209,7,7,26,26
210,7,7,37,32
211,9,10,23,23
212,6,6,34,34
213,8,7,28,26
214,5,5,35,33
215,7,8,24,25
216,6,6,41,41
217,5,5,31,32
218,10,11,19,20
219,6,6,40,36
220,5,4,40,37
221,9,10,20,20
222,7,7,29,25
223,7,7,23,26
224,6,6,30,29
225,6,6,28,28
226,6,6,32,34
227,9,9,22,25
228,6,6,30,29
229,4,4,49,48
230,11,11,19,18
231,8,10,22,22
232,12,14,16,21
233,9,10,22,24
234,6,6,33,33
235,5,5,39,38
236,8,8,25,24
237,6,6,25,27
238,8,8,25,24
239,9,12,20,22
240,9,10,21,20
241,7,7,31,27
242,4,4,52,47
243,8,7,23,25
244,7,5,47,32
245,6,6,28,28
246,5,4,44,42
247,8,9,23,25
248,6,5,31,34
249,7,7,29,26
250,9,9,21,21
251,4,4,34,34
252,7,7,29,28
253,6,6,31,31
254,4,4,36,36
255,10,10,22,24
256,6,6,34,32
257,6,6,28,30
258,7,8,28,30
259,6,6,32,35
260,5,5,37,36
261,6,6,33,28
262,10,10,22,23
263,6,7,26,28
264,7,7,26,27
265,10,10,21,20
266,8,8,35,35
267,9,14,22,25
268,7,6,28,29
269,8,9,25,26
270,6,6,34,32
271,6,5,35,35
272,10,10,20,21
273,10,13,17,22
274,5,5,27,28
275,9,9,21,23
276,4,4,36,38
277,10,9,25,27
278,7,7,31,28
279,6,5,33,33
280,5,5,36,37
281,11,11,19,22
282,8,8,31,30
283,8,8,26,24
284,6,6,32,32
285,5,5,34,34
286,4,4,44,39
287,5,5,28,28
288,5,5,45,46
289,9,9,21,21
290,6,5,33,30
291,5,4,40,33
292,10,10,20,19
293,6,6,26,28
294,7,7,29,29
295,9,9,25,27
296,5,5,43,42
297,6,6,36,35
298,6,6,27,26
299,6,6,34,33
300,8,6,28,27
301,5,5,34,33
302,9,9,21,21
303,7,10,24,27
304,6,6,36,37
305,4,4,50,47
306,10,9,26,23
307,4,4,42,42
308,8,8,28,24
309,5,5,37,36
310,8,9,25,27
311,11,11,21,21
312,10,11,19,19
313,7,7,23,23
314,12,14,18,19
315,10,10,22,22
316,10,10,22,23
317,3,4,44,43
318,11,11,19,19
319,5,4,36,33
320,9,8,28,28
321,8,8,25,27
322,10,13,17,22
323,10,11,21,21
324,6,7,31,30
325,8,8,24,24
326,5,6,35,34
327,8,8,26,24
328,10,10,24,24
329,8,8,22,25
330,11,11,23,20
331,5,5,45,39
332,8,8,28,27
333,8,8,22,22
334,6,6,43,40
335,6,6,28,28
336,7,7,29,28
337,11,12,18,20
338,6,6,30,28
339,6,5,36,36
340,6,5,27,27
341,7,6,29,30
342,4,4,44,47
343,11,11,19,21
344,7,7,26,26
345,9,9,23,24
346,5,4,35,35
347,8,7,23,23
348,6,6,30,30
349,7,7,25,22
350,7,7,26,27
351,6,6,30,30
352,11,14,18,21
353,11,13,17,23
354,10,11,19,18
355,10,9,21,20
356,7,7,23,26
357,8,8,28,26
358,6,6,30,29
359,6,7,31,26
360,5,5,27,29
361,11,11,20,18
362,6,6,29,28
363,4,4,30,31
364,7,7,27,28
365,8,8,25,24
366,5,5,37,38
367,11,11,19,18
368,4,4,34,34
369,7,8,30,29
370,6,6,31,31
371,9,9,21,22
372,10,11,19,18
373,6,6,42,36
374,8,7,23,23
375,9,9,23,23
376,11,12,18,18
377,8,8,22,22
378,12,12,18,18
379,10,10,20,20
380,7,7,31,31
381,7,7,29,31
382,5,5,37,39
383,11,11,19,18
384,8,8,24,25
385,4,4,52,46
386,9,9,22,22
387,5,5,31,30
388,9,8,24,27
389,12,11,19,21
390,6,6,33,34
391,6,6,30,30
392,7,7,29,27
393,10,10,22,21
394,7,6,34,34
395,6,7,31,28
396,6,6,30,31
397,9,9,33,32
398,9,11,19,20
399,6,7,37,35
400,4,4,40,37
401,6,6,38,37
402,7,6,34,29
403,7,7,30,29
404,5,5,29,29
405,8,8,28,27
406,8,9,21,23
407,8,8,23,24
408,8,7,25,25
409,6,6,43,44
410,7,7,37,38
411,8,8,34,29
412,6,6,36,33
413,8,8,28,27
414,6,7,33,32
415,9,9,23,22
416,7,7,29,25
417,8,8,30,28
418,5,6,34,34
419,5,5,41,43
420,10,10,21,21
421,7,9,29,28
422,10,10,21,20
423,5,5,43,43
424,6,6,31,31
425,8,8,22,22
426,5,8,40,48
427,7,7,27,28
428,6,6,30,32
429,8,7,24,25
430,5,5,36,38
431,10,11,19,19
432,7,7,25,26
433,6,6,36,32
434,8,7,23,25
435,8,7,27,31
436,7,7,24,24
437,9,9,24,25
438,8,8,22,24
439,6,6,36,37
440,6,6,34,34
441,8,8,24,24
442,7,7,33,29
443,9,9,21,21
444,8,8,26,26
445,6,6,42,40
446,4,4,30,34
