,h11_pred,h11_true,h21_pred,h21_true
0,4,4,44,44
1,9,9,23,23
2,10,10,20,23
3,11,11,20,19
4,5,5,33,33
5,9,9,23,23
6,5,4,32,35
7,5,5,49,48
8,6,6,30,34
9,9,9,24,21
10,8,8,25,25
11,9,10,20,21
12,9,8,28,26
13,10,8,26,22
14,10,10,22,21
15,9,9,23,22
16,6,5,29,31
17,6,4,32,32
18,10,9,24,22
19,8,8,26,26
20,9,9,24,23
21,9,9,25,25
22,9,7,23,24
23,9,9,21,21
24,6,5,35,35
25,4,4,46,42
26,6,6,27,29
27,7,6,30,31
28,6,6,33,35
29,7,7,27,28
30,7,7,30,30
31,8,7,23,24
32,5,4,38,43
33,7,6,24,25
34,8,8,31,29
35,6,5,31,31
36,10,8,22,22
37,3,3,45,47
38,9,9,25,25
39,8,10,20,23
40,9,9,23,23
41,8,8,22,24
42,7,7,23,25
43,8,8,26,25
44,5,4,38,32
45,10,10,22,25
46,10,11,22,22
47,6,5,29,29
48,8,7,23,26
49,7,7,25,26
50,6,6,33,33
51,6,6,28,31
52,8,8,32,29
53,5,5,35,36
54,9,8,26,25
55,10,19,19,32
56,10,11,19,20
57,7,7,31,33
58,8,9,25,25
59,6,7,27,26
60,8,8,28,30
61,8,7,33,32
62,7,7,29,29
63,10,9,25,22
64,9,9,21,22
65,8,8,25,24
66,8,8,23,25
67,7,7,26,25
68,10,10,22,22
69,6,6,36,42
70,6,6,26,30
71,11,13,17,19
72,5,5,55,54
73,8,11,23,25
74,5,8,40,44
75,6,6,29,28
76,5,6,42,37
77,7,7,34,32
78,12,11,19,19
79,8,7,35,31
80,7,7,25,24
81,6,3,63,43
82,6,7,33,35
83,5,5,37,38
84,6,6,30,30
85,5,5,39,33
86,10,10,20,20
87,7,7,31,33
88,8,7,27,30
89,6,6,36,34
90,9,8,22,23
91,11,11,19,20
92,7,7,29,31
93,9,9,21,21
94,7,7,31,31
95,6,6,36,35
96,9,9,24,25
97,12,14,16,21
98,9,9,25,24
99,9,10,22,24
100,6,6,45,45
101,6,6,29,30
102,8,8,23,23
103,10,10,22,21
104,6,6,31,30
105,5,5,33,34
106,12,12,18,20
107,11,11,19,20
108,6,5,33,33
109,6,6,32,32
110,7,7,23,25
111,4,4,54,57
112,10,10,20,20
113,7,8,28,27
114,9,9,22,23
115,9,9,23,22
116,6,5,31,31
117,12,11,19,21
118,6,6,31,32
119,7,11,31,29
120,9,8,25,26
121,8,8,42,34
122,5,5,41,35
123,5,5,31,30
124,10,8,28,24
125,7,7,27,27
126,9,9,23,25
127,9,8,26,26
128,10,10,20,21
129,6,6,38,39
130,6,6,37,34
131,5,5,33,29
132,8,8,28,27
133,6,9,21,28
134,10,10,20,20
135,9,9,24,24
136,10,8,28,27
137,5,5,31,30
138,7,7,26,26
139,9,9,22,24
140,8,8,24,25
141,8,8,31,29
142,12,11,19,18
143,7,7,28,29
144,6,5,41,41
145,5,4,35,34
146,6,5,37,31
147,6,6,28,31
148,7,7,23,26
149,3,3,47,37
150,8,7,23,24
151,8,9,27,26
152,4,4,40,41
153,7,7,27,27
154,10,10,20,20
155,7,6,26,28
156,12,12,18,21
157,8,8,25,24
158,8,8,22,24
159,8,9,21,27
160,6,6,29,31
161,9,9,23,23
162,8,8,24,25
163,8,8,22,22
164,6,7,43,39
165,7,6,26,25
166,5,5,37,37
167,9,9,21,23
168,6,6,31,29
169,8,8,22,24
170,6,5,37,32
171,7,7,28,28
172,7,9,36,36
173,6,6,26,28
174,5,6,42,36
175,7,7,25,25
176,3,3,45,47
177,7,7,26,29
178,9,7,29,25
179,8,8,31,30
180,5,5,29,29
181,6,6,34,33
182,7,7,41,39
183,8,7,27,30
184,10,11,21,22
185,7,7,29,28
186,11,11,19,19
187,7,6,28,29
188,7,6,26,26
189,8,8,22,24
190,11,12,18,19
191,9,10,23,20
192,10,9,23,21
193,8,8,26,28
194,11,9,21,22
195,10,10,20,21
196,8,7,27,29
197,8,8,26,24
198,9,9,21,22
199,22,0,0,10
200,9,9,21,21
201,8,8,29,27
202,6,6,28,26
203,7,7,31,28
204,5,5,31,33
205,13,12,18,18
206,5,5,61,62
207,5,5,37,40
208,5,4,34,37
209,4,4,49,50
210,8,7,25,27
211,8,9,25,26
212,6,6,32,32
213,4,6,34,33
214,9,8,22,22
215,6,5,29,28
216,7,6,28,28
217,6,6,32,33
218,13,13,17,18
219,8,4,42,36
220,7,7,29,28
221,9,8,26,27
222,7,7,32,31
223,11,11,19,23
224,8,8,31,30
225,8,8,25,24
226,12,12,22,22
227,7,7,28,28
228,8,8,28,27
229,6,6,32,32
230,11,12,18,19
231,8,8,25,25
232,8,7,23,29
233,4,4,41,40
234,8,7,25,25
235,4,4,58,58
236,11,10,23,23
237,5,5,43,43
238,8,8,24,24
239,7,6,26,25
240,10,9,21,21
241,9,9,23,21
242,7,7,26,28
243,9,9,24,24
244,6,5,31,34
245,8,7,23,25
246,4,4,48,47
247,7,7,25,25
248,10,9,21,21
249,10,11,19,20
250,6,6,31,30
251,2,3,53,54
252,7,7,30,32
253,11,11,19,21
254,9,12,18,18
255,6,6,37,35
256,6,5,26,29
257,12,11,21,20
258,7,8,26,26
259,10,9,23,26
260,6,6,28,30
261,7,6,38,39
262,9,9,23,25
263,9,9,23,24
264,6,6,30,34
265,3,3,57,55
266,6,7,41,38
267,5,5,34,33
268,7,7,24,24
269,7,7,36,35
270,6,6,32,31
271,10,10,20,22
272,7,7,23,24
273,6,6,34,36
274,4,4,44,45
275,9,10,20,22
276,6,6,30,30
277,8,8,28,27
278,9,8,25,22
279,6,6,28,27
280,8,8,25,26
281,11,13,17,23
282,8,8,23,24
283,9,4,38,32
284,9,9,21,23
285,2,2,68,74
286,10,11,19,21
287,6,6,38,34
288,6,6,35,32
289,7,7,25,25
290,8,8,24,24
291,2,2,77,77
292,5,5,35,34
293,7,7,25,28
294,9,8,22,26
295,4,3,47,50
296,4,4,54,40
297,5,5,37,35
298,7,7,37,36
299,6,7,47,40
300,6,5,29,29
301,8,9,23,24
302,9,9,24,23
303,8,8,26,25
304,7,6,36,38
305,6,7,31,31
306,8,7,26,24
307,6,6,32,32
308,5,5,46,40
309,6,6,34,31
310,7,6,27,28
311,4,4,50,47
312,5,5,37,37
313,9,10,20,24
314,6,6,34,33
315,9,9,21,22
316,11,12,22,21
317,5,5,37,35
318,7,7,29,27
319,8,8,26,27
320,9,9,21,23
321,7,7,29,27
322,7,8,38,34
323,5,5,29,31
324,7,8,22,25
325,6,5,37,35
326,7,7,35,30
327,8,8,28,28
328,8,8,27,26
329,3,3,47,45
330,5,5,52,52
331,10,9,21,21
332,8,8,22,22
333,6,5,29,32
334,8,8,29,24
335,10,10,23,23
336,10,11,19,18
337,8,8,31,29
338,5,5,33,33
339,7,7,23,25
340,7,8,22,23
341,7,8,28,29
342,9,9,23,21
343,10,11,19,21
344,9,8,24,24
345,6,5,35,30
346,4,3,55,42
347,5,5,35,35
348,7,7,27,27
349,8,7,32,27
350,10,10,24,23
351,7,7,29,29
352,5,5,43,44
353,5,5,39,38
354,7,7,29,30
355,6,7,31,31
356,11,11,25,23
357,8,9,25,25
