,num_cp
0,6
1,6
2,5
3,6
4,8
5,7
6,5
7,7
8,5
9,8
10,8
11,5
12,7
13,6
14,7
15,4
16,7
17,8
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,7
26,5
27,4
28,8
29,6
30,10
31,8
32,5
33,7
34,8
35,4
36,8
37,4
38,7
39,7
40,7
41,7
42,6
43,4
44,7
45,5
46,8
47,6
48,7
49,7
50,7
51,6
52,5
53,7
54,6
55,7
56,7
57,6
58,6
59,9
60,9
61,7
62,5
63,6
64,4
65,7
66,6
67,9
68,8
69,7
70,6
71,2
72,5
73,7
74,7
75,8
76,7
77,7
78,6
79,8
80,7
81,6
82,5
83,6
84,5
85,5
86,7
87,7
88,8
89,8
90,7
91,8
92,6
93,6
94,8
95,5
96,6
97,6
98,7
99,5
100,8
101,6
102,8
103,6
104,9
105,9
106,5
107,9
108,6
109,8
110,6
111,7
112,11
113,6
114,8
115,7
116,8
117,5
118,3
119,3
120,5
121,4
122,5
123,6
124,3
125,5
126,6
127,8
128,7
129,8
130,8
131,8
132,6
133,4
134,7
135,5
136,8
137,9
138,7
139,6
140,5
141,4
142,6
143,8
144,4
145,9
146,8
147,10
148,6
149,7
150,6
151,7
152,8
153,7
154,7
155,7
156,9
157,6
158,7
159,6
160,5
161,8
162,8
163,4
164,8
165,8
166,6
167,8
168,7
169,9
170,7
171,8
172,7
173,9
174,7
175,3
176,5
177,6
178,6
179,7
180,6
181,6
182,7
183,7
184,7
185,7
186,7
187,8
188,6
189,9
190,4
191,8
192,6
193,8
194,9
195,7
196,6
197,6
198,7
199,9
200,6
201,7
202,5
203,8
204,7
205,6
206,6
207,6
208,8
209,11
210,7
211,5
212,7
213,3
214,8
215,6
216,6
217,9
218,6
219,10
220,9
221,5
222,5
223,9
224,8
225,6
226,4
227,8
228,8
229,5
230,7
231,7
232,8
233,7
234,5
235,5
236,6
237,4
238,8
239,6
240,8
241,7
242,9
243,8
244,6
245,7
246,6
247,3
248,6
249,5
250,7
251,10
252,7
253,6
254,6
255,7
256,9
257,8
258,7
259,7
260,7
261,8
262,10
263,8
264,7
265,9
266,7
267,5
268,8
269,11
270,8
271,6
272,8
273,7
274,6
275,9
276,10
277,6
278,6
279,4
280,7
281,8
282,6
283,8
284,4
285,9
286,7
287,6
288,7
289,8
290,6
291,8
292,7
293,4
294,5
295,6
296,9
297,6
298,8
299,8
300,6
301,8
302,6
303,6
304,10
305,8
306,9
307,6
308,5
309,9
310,6
311,6
312,6
313,8
314,9
315,7
316,6
317,5
318,8
319,8
320,7
321,7
322,9
323,7
324,6
325,6
326,5
327,5
328,7
329,7
330,7
331,7
332,4
333,6
334,6
335,10
336,3
337,7
338,7
339,7
340,4
341,6
342,9
343,5
344,4
345,4
346,8
347,10
348,5
349,7
350,3
351,4
352,3
353,8
354,7
355,9
356,5
357,10
358,7
359,7
360,8
361,7
362,4
363,6
364,7
365,6
366,9
367,6
368,4
369,7
370,7
371,4
372,5
373,9
374,5
375,6
376,8
377,7
378,5
379,7
380,7
381,5
382,2
383,6
384,7
385,7
386,5
387,8
388,9
389,7
390,8
391,5
392,4
393,7
394,7
395,5
396,7
397,4
398,4
399,8
400,8
401,6
402,7
403,6
404,4
405,6
406,6
407,7
408,6
409,7
410,9
411,6
412,2
413,7
414,7
415,9
416,8
417,8
418,7
419,5
420,9
421,7
422,3
423,8
424,7
425,5
426,8
427,7
428,9
429,6
430,9
431,5
432,6
433,8
434,7
435,5
436,7
437,7
438,7
439,6
440,1
441,2
442,6
443,7
444,6
445,4
446,7
447,9
448,8
449,7
450,3
451,8
452,7
453,9
454,8
455,7
456,7
457,4
458,6
459,5
460,4
461,7
462,7
463,6
464,8
465,8
466,5
467,8
468,8
469,9
470,6
471,9
472,8
473,7
474,8
475,8
476,7
477,6
478,5
479,9
480,8
481,6
482,7
483,10
484,8
485,7
486,7
487,8
488,6
489,6
490,6
491,9
492,2
493,3
494,7
495,5
496,7
497,5
498,5
499,6
500,6
501,6
502,7
503,7
504,6
505,7
506,5
507,7
508,6
509,6
510,5
511,5
512,5
513,6
514,7
515,7
516,5
517,7
518,7
519,5
520,5
521,6
522,10
523,6
524,6
525,6
526,9
527,7
528,6
529,9
530,8
531,7
532,9
533,6
534,5
535,8
536,6
537,6
538,9
539,5
540,5
541,8
542,5
543,7
544,5
545,8
546,6
547,6
548,7
549,6
550,4
551,7
552,7
553,6
554,7
555,4
556,8
557,6
558,6
559,6
560,5
561,7
562,8
563,8
564,6
565,10
566,6
567,7
568,8
569,9
570,8
571,5
572,6
573,9
574,8
575,4
576,6
577,2
578,10
579,6
580,8
581,7
582,6
583,8
584,9
585,5
586,7
587,7
588,9
589,3
590,5
591,7
592,8
593,8
594,7
595,6
596,7
597,7
598,6
599,8
600,9
601,6
602,7
603,7
604,5
605,7
606,7
607,9
608,6
609,4
610,7
611,4
612,6
613,5
614,8
615,7
616,5
617,8
618,4
619,8
620,7
621,7
622,6
623,8
624,5
625,3
626,6
627,7
628,7
629,7
630,7
631,4
632,7
633,6
634,7
635,5
636,7
637,6
638,6
639,6
640,7
641,7
642,5
643,3
644,5
645,4
646,6
647,7
648,9
649,6
650,7
651,5
652,7
653,7
654,7
655,6
656,5
657,7
658,9
659,6
660,7
661,9
662,6
663,7
664,7
665,9
666,8
667,7
668,8
669,7
670,8
671,8
672,5
673,4
674,7
675,4
676,7
677,8
678,7
679,7
680,8
681,9
