,h11_pred,h11_true
0,10,10
1,9,9
2,7,7
3,7,8
4,10,10
5,4,4
6,7,7
7,4,4
8,10,10
9,8,8
10,8,8
11,8,8
12,7,7
13,7,7
14,6,6
15,7,7
16,8,8
17,10,10
18,7,7
19,8,8
20,5,5
21,5,5
22,9,9
23,8,10
24,8,8
25,13,15
26,10,11
27,6,6
28,12,11
29,7,7
30,8,8
31,9,9
32,9,9
33,8,8
34,6,6
35,8,8
36,9,8
37,7,7
38,6,6
39,4,3
40,2,2
41,4,4
42,8,7
43,9,9
44,8,8
45,6,8
46,7,7
47,4,4
48,10,10
49,8,8
50,8,8
51,6,6
52,9,9
53,8,8
54,8,10
55,3,3
56,8,8
57,7,7
58,5,5
59,8,8
60,7,7
61,4,4
62,6,6
63,6,6
64,8,8
65,4,4
66,9,8
67,12,14
68,8,8
69,5,5
70,4,4
71,11,11
72,9,9
73,5,5
74,6,6
75,8,8
76,11,11
77,8,8
78,5,5
79,10,9
80,8,9
81,7,7
82,12,12
83,10,10
84,6,7
85,5,5
86,6,6
87,7,7
88,9,9
89,6,6
90,8,6
91,8,9
92,11,11
93,8,8
94,6,6
95,7,7
96,8,8
97,6,6
98,4,4
99,10,10
100,7,7
101,3,3
102,9,9
103,8,8
104,7,7
105,10,11
106,8,8
107,6,6
108,5,5
109,7,7
110,10,10
111,8,8
112,7,7
113,6,6
114,8,8
115,6,6
116,8,8
117,6,6
118,9,9
119,7,7
120,4,4
121,9,10
122,11,11
123,8,9
124,10,11
125,6,6
126,6,9
127,7,7
128,8,8
129,6,6
130,6,6
131,8,8
132,6,6
133,9,9
134,11,12
135,6,7
136,10,10
137,9,9
138,9,9
139,10,10
140,10,10
141,7,7
142,7,7
143,10,11
144,7,7
145,5,5
146,6,6
147,9,9
148,7,7
149,7,7
150,8,8
151,7,7
152,5,5
153,9,9
154,7,7
155,7,9
156,7,7
157,7,9
158,9,10
159,7,7
160,6,6
161,9,9
162,7,7
163,7,7
164,10,11
165,7,6
166,2,1
167,4,4
168,8,8
169,7,7
170,7,7
171,6,6
172,7,7
173,8,8
174,7,7
175,7,7
176,11,10
177,9,11
178,12,11
179,7,7
180,10,10
181,7,7
182,8,8
183,10,10
184,8,8
185,7,7
186,8,8
187,6,6
188,7,7
189,7,7
190,8,8
191,6,6
192,5,5
193,11,12
194,13,12
195,9,9
196,9,8
197,5,5
198,3,3
199,11,10
200,9,8
201,7,7
202,7,7
203,9,9
204,6,6
205,10,10
206,9,10
207,8,8
208,8,8
209,7,7
210,7,7
211,10,10
212,6,6
213,9,7
214,5,5
215,7,8
216,6,6
217,5,5
218,10,11
219,6,6
220,4,4
221,9,10
222,7,7
223,7,7
224,6,6
225,6,6
226,6,6
227,9,9
228,6,6
229,4,4
230,11,11
231,8,10
