,h11_pred,h11_true,h21_pred,h21_true
0,10,9,21,21
1,7,7,23,23
2,7,7,26,24
3,6,6,50,48
4,7,7,29,28
5,7,7,29,29
6,5,5,47,48
7,6,6,30,28
8,9,9,21,20
9,8,8,24,26
10,8,8,25,24
11,5,5,29,31
12,5,5,34,32
13,5,5,31,32
14,6,6,26,30
15,10,10,20,22
16,5,5,44,44
17,4,4,53,53
18,13,15,15,18
19,9,6,26,23
20,6,6,28,27
21,8,8,22,23
22,8,8,25,24
23,4,4,36,36
24,10,11,21,22
25,5,5,25,26
26,5,5,39,38
27,6,6,30,32
28,6,6,24,25
29,10,10,20,21
30,7,7,38,38
31,6,6,30,30
32,8,8,22,22
33,7,8,32,30
34,4,4,34,34
35,6,6,24,25
36,8,8,26,26
37,5,5,41,44
38,5,5,37,37
39,9,9,22,21
40,7,7,29,29
41,8,8,22,21
42,6,6,31,31
43,8,8,28,26
44,7,7,27,28
45,10,10,23,23
46,6,6,41,40
47,7,7,47,48
48,10,10,20,22
49,8,8,34,35
50,7,7,28,27
51,6,6,26,29
52,10,12,20,20
53,6,6,24,24
54,8,8,22,23
55,5,5,27,28
56,6,6,29,30
57,7,7,29,29
58,11,10,20,20
59,6,6,34,34
60,8,8,26,27
61,10,13,17,19
62,7,7,31,30
63,5,5,37,39
64,12,12,18,17
65,3,3,39,41
66,5,5,35,34
67,8,8,25,25
68,8,8,23,22
69,5,5,31,33
70,8,8,22,23
71,7,7,29,29
72,8,8,23,23
73,7,7,26,26
74,4,4,44,42
75,4,4,30,32
76,7,7,23,23
77,8,7,33,30
78,8,8,24,26
79,5,5,55,53
80,10,11,21,21
81,10,10,20,19
82,6,7,35,37
83,8,8,22,23
84,8,7,25,26
85,3,3,51,49
86,6,6,30,29
87,6,6,24,24
88,7,7,29,31
89,14,14,16,15
90,7,7,27,32
91,9,9,21,21
92,6,6,32,33
93,8,9,25,23
94,10,10,24,22
95,7,8,26,26
96,6,6,28,28
97,5,5,35,35
98,9,9,21,21
99,6,6,24,25
100,6,6,42,39
101,9,8,24,25
102,7,7,24,24
103,7,7,41,41
104,6,6,32,31
105,6,6,31,31
106,7,7,33,33
107,6,6,31,32
108,5,5,37,38
109,6,6,33,33
110,9,9,23,24
111,5,5,41,40
112,5,5,35,35
113,7,7,27,27
114,6,6,39,41
115,10,10,20,20
116,8,9,23,25
117,8,8,28,28
118,7,7,38,39
119,8,8,26,28
120,11,11,19,19
121,11,11,19,19
122,3,3,55,52
123,9,9,21,20
124,8,8,28,31
125,8,8,31,32
126,8,7,29,26
127,5,5,43,43
128,5,5,37,37
129,5,5,35,34
130,8,8,28,27
131,9,9,21,22
132,5,5,37,34
133,8,8,31,34
134,7,7,29,28
135,8,8,25,25
136,7,7,29,30
137,8,8,28,29
138,9,9,21,22
139,8,8,27,28
140,8,7,29,28
141,8,8,22,21
142,5,5,33,32
143,5,5,35,35
144,5,5,31,32
145,7,8,30,29
146,8,8,27,27
147,8,8,24,25
148,8,8,30,30
149,6,6,34,34
150,9,9,24,23
151,7,6,29,27
152,6,6,32,32
153,6,6,28,28
154,10,10,20,21
155,4,4,46,46
156,6,6,32,35
157,8,8,26,27
158,7,7,31,28
159,10,11,19,20
160,7,7,29,27
161,10,9,21,21
162,7,7,26,26
163,4,4,38,38
164,4,4,50,51
165,8,8,26,26
166,6,6,31,31
167,9,9,27,27
168,7,7,31,32
169,11,11,19,19
170,4,4,39,39
171,9,9,21,20
172,6,6,26,27
173,4,4,53,55
174,10,10,23,22
175,7,7,23,23
176,4,4,40,40
177,9,9,24,24
178,6,6,26,28
179,10,9,21,21
180,5,5,43,43
181,11,11,19,19
182,12,13,17,18
183,6,6,29,29
184,3,3,39,38
185,8,8,23,24
186,10,10,20,22
187,4,4,54,55
188,6,6,34,34
189,5,5,35,36
190,8,7,23,24
191,7,6,29,29
192,10,11,31,32
193,9,10,23,24
194,6,8,35,44
195,7,6,30,32
196,10,9,21,21
197,7,7,29,29
198,7,7,23,22
199,8,8,24,25
200,4,4,40,40
201,9,9,31,32
202,6,6,26,27
203,6,7,43,38
204,10,9,21,21
205,10,10,20,20
206,7,7,32,28
207,8,8,26,25
208,12,11,19,19
209,6,6,27,27
210,10,9,21,22
211,3,3,60,64
212,6,6,37,37
213,8,8,25,25
214,11,11,21,20
215,10,9,26,24
216,9,9,25,25
217,9,9,25,24
218,9,9,21,23
219,5,5,42,41
220,7,7,31,30
221,7,7,23,25
222,8,7,27,28
223,10,10,20,20
224,4,4,42,41
225,8,7,31,30
226,12,12,20,22
227,4,4,44,44
228,8,7,29,27
229,3,3,53,54
