,h11_pred,h11_true,h21_pred,h21_true
0,5,4,44,43
1,9,9,23,23
2,10,10,20,22
3,12,11,20,18
4,5,5,33,32
5,9,9,23,23
6,5,4,32,35
7,5,5,49,50
8,7,6,30,32
9,10,9,24,21
10,8,8,25,25
11,10,10,20,21
12,8,8,28,26
13,9,8,26,22
14,11,10,22,19
15,9,9,23,22
16,6,5,29,31
17,5,4,32,32
18,9,9,24,23
19,8,8,26,27
20,9,9,24,23
21,10,9,25,23
22,7,7,23,25
23,9,9,21,22
24,6,5,35,34
25,4,4,46,44
26,6,6,27,27
27,6,6,30,31
28,6,6,33,33
29,7,7,27,27
30,7,7,30,27
31,7,7,23,25
32,4,4,38,45
33,5,6,24,24
34,8,8,31,29
35,5,5,31,32
36,9,8,22,23
37,3,3,45,49
38,9,9,25,25
39,9,10,20,22
40,9,9,23,23
41,9,8,22,25
42,7,7,23,26
43,8,8,26,26
44,5,4,38,33
45,10,10,22,24
46,10,11,22,22
47,6,5,29,29
48,8,7,23,27
49,7,7,25,27
50,6,6,33,36
51,6,6,28,30
52,8,8,32,28
53,5,5,35,35
54,9,8,26,25
55,12,19,19,30
56,10,11,19,21
57,7,7,31,32
58,9,9,25,27
59,7,7,27,26
60,9,8,28,27
61,7,7,33,31
62,7,7,29,30
63,10,9,25,24
64,9,9,21,21
65,8,8,25,24
66,8,8,23,24
67,7,7,26,26
68,9,10,22,22
69,6,6,36,41
70,6,6,26,32
71,10,13,17,18
72,5,5,55,55
73,9,11,23,23
74,6,8,40,40
75,6,6,29,30
76,8,6,42,29
77,7,7,34,32
78,11,11,19,19
79,8,7,35,30
80,7,7,25,25
81,6,3,63,50
82,7,7,33,33
83,5,5,37,38
84,6,6,30,32
85,5,5,39,38
86,10,10,20,20
87,8,7,31,31
88,8,7,27,30
89,6,6,36,34
90,8,8,22,24
91,11,11,19,19
92,7,7,29,31
93,9,9,21,20
94,7,7,31,30
95,6,6,36,35
96,8,9,24,24
97,13,14,16,18
98,9,9,25,24
99,10,10,22,21
100,6,6,45,47
101,6,6,29,31
102,8,8,23,25
103,10,10,22,22
104,7,6,31,32
105,5,5,33,35
106,11,12,18,20
107,11,11,19,20
108,6,5,33,31
109,6,6,32,32
110,7,7,23,26
111,4,4,54,55
112,9,10,20,22
113,8,8,28,27
114,9,9,22,23
115,10,9,23,21
116,5,5,31,32
117,10,11,19,23
118,6,6,31,31
119,8,11,31,26
120,7,8,25,28
121,8,8,42,32
122,5,5,41,38
123,5,5,31,31
124,11,8,28,24
125,7,7,27,27
126,8,9,23,25
127,7,8,26,25
128,10,10,20,21
129,6,6,38,37
130,6,6,37,36
131,6,5,33,29
132,9,8,28,28
133,8,9,21,25
134,10,10,20,20
135,9,9,24,25
136,10,8,28,26
137,5,5,31,32
138,7,7,26,26
139,9,9,22,22
140,8,8,24,24
141,8,8,31,29
142,10,11,19,21
143,7,7,28,29
144,5,5,41,42
145,5,4,35,37
146,6,5,37,34
147,6,6,28,30
148,6,7,23,26
149,3,3,47,40
150,7,7,23,24
151,7,9,27,28
152,4,4,40,41
153,7,7,27,25
154,10,10,20,20
155,7,6,26,30
156,12,12,18,21
157,8,8,25,26
158,8,8,22,24
159,8,9,21,26
160,6,6,29,30
161,10,9,23,23
162,9,8,24,23
163,8,8,22,25
164,7,7,43,42
165,7,6,26,24
166,5,5,37,38
167,9,9,21,22
168,6,6,31,29
169,8,8,22,24
170,6,5,37,32
171,8,7,28,28
172,8,9,36,34
173,6,6,26,27
174,5,6,42,38
175,7,7,25,25
176,3,3,45,46
177,7,7,26,28
178,8,7,29,25
179,8,8,31,29
180,5,5,29,30
181,6,6,34,34
182,8,7,41,37
183,8,7,27,31
184,10,11,21,25
185,7,7,29,29
186,11,11,19,18
187,6,6,28,31
188,6,6,26,28
189,8,8,22,23
190,11,12,18,20
191,10,10,23,20
192,9,9,23,23
193,9,8,26,28
194,10,9,21,22
195,11,10,20,20
196,7,7,27,29
197,9,8,26,24
198,9,9,21,22
199,21,0,0,13
200,8,9,21,20
201,8,8,29,27
202,7,6,28,26
203,7,7,31,28
204,5,5,31,33
205,12,12,18,18
206,5,5,61,59
207,5,5,37,39
208,4,4,34,38
209,4,4,49,51
210,8,7,25,25
211,9,9,25,25
212,6,6,32,32
213,4,6,34,34
214,8,8,22,24
215,6,5,29,29
216,6,6,28,32
217,6,6,32,32
218,11,13,17,20
219,8,4,42,36
220,8,7,29,29
221,9,8,26,25
222,7,7,32,30
223,11,11,19,22
224,8,8,31,30
225,8,8,25,23
226,11,12,22,23
227,7,7,28,28
228,9,8,28,26
229,6,6,32,31
230,12,12,18,18
231,8,8,25,24
232,7,7,23,27
233,4,4,41,39
234,7,7,25,27
235,5,4,58,57
236,11,10,23,22
237,5,5,43,43
238,8,8,24,24
239,8,6,26,24
240,10,9,21,21
241,9,9,23,20
242,7,7,26,27
243,9,9,24,26
244,6,5,31,30
245,7,7,23,25
246,4,4,48,48
247,7,7,25,23
248,9,9,21,21
249,11,11,19,18
250,6,6,31,30
251,4,3,53,54
252,7,7,30,30
253,11,11,19,20
254,11,12,18,18
255,6,6,37,35
256,5,5,26,28
257,11,11,21,22
258,8,8,26,26
259,9,9,23,28
260,6,6,28,30
261,6,6,38,39
262,9,9,23,26
263,9,9,23,23
264,5,6,30,32
265,3,3,57,54
266,6,7,41,36
267,5,5,34,34
268,7,7,24,25
269,7,7,36,35
270,6,6,32,32
271,10,10,20,20
272,7,7,23,24
273,6,6,34,36
274,4,4,44,44
275,10,10,20,21
276,6,6,30,30
277,8,8,28,27
278,9,8,25,22
279,6,6,28,27
280,8,8,25,25
281,11,13,17,21
282,9,8,23,23
283,11,4,38,27
284,9,9,21,23
285,2,2,68,70
286,11,11,19,21
287,6,6,38,34
288,6,6,35,32
289,7,7,25,26
290,8,8,24,24
291,2,2,77,77
292,5,5,35,35
293,7,7,25,27
294,8,8,22,25
295,3,3,47,49
296,4,4,54,43
297,5,5,37,35
298,7,7,37,38
299,6,7,47,45
300,6,5,29,30
301,8,9,23,22
302,9,9,24,22
303,8,8,26,25
304,6,6,36,38
305,7,7,31,32
306,7,7,26,24
307,6,6,32,33
308,5,5,46,42
309,6,6,34,32
310,7,6,27,28
311,4,4,50,50
312,6,5,37,35
313,8,10,20,25
314,6,6,34,33
315,9,9,21,21
316,11,12,22,20
317,5,5,37,36
318,8,7,29,26
319,9,8,26,24
320,8,9,21,24
321,7,7,29,29
322,7,8,38,35
323,5,5,29,32
324,8,8,22,30
325,6,5,37,35
326,6,7,35,31
327,8,8,28,26
328,8,8,27,24
329,4,3,47,47
330,5,5,52,50
331,9,9,21,20
332,8,8,22,23
333,5,5,29,32
334,9,8,29,25
335,9,10,23,23
336,10,11,19,19
337,8,8,31,29
338,5,5,33,34
339,8,7,23,25
340,8,8,22,23
341,8,8,28,28
342,11,9,23,21
343,11,11,19,19
344,9,8,24,24
345,6,5,35,30
346,4,3,55,44
347,5,5,35,36
348,7,7,27,29
349,7,7,32,29
350,11,10,24,23
351,7,7,29,27
352,5,5,43,43
353,5,5,39,37
354,7,7,29,30
355,6,7,31,31
356,10,11,25,21
357,9,9,25,25
358,9,8,28,25
359,4,4,52,46
360,7,8,30,33
361,10,9,21,19
362,9,9,21,21
363,9,9,21,20
364,4,4,46,46
365,8,7,29,30
366,7,7,29,28
367,11,14,16,20
368,9,9,21,23
369,9,7,27,26
370,8,9,25,27
371,12,12,18,18
372,6,6,38,36
373,10,9,21,23
374,8,7,23,23
375,5,5,27,28
376,9,9,25,24
377,6,6,32,32
378,12,13,17,18
379,8,8,22,22
380,6,8,23,25
381,5,5,41,41
382,7,7,25,26
383,11,10,22,21
384,7,7,27,28
385,8,8,25,26
386,7,8,26,28
387,9,10,22,22
388,8,9,25,27
389,9,9,28,26
390,10,9,25,24
391,7,8,28,28
392,7,7,25,26
393,8,8,24,23
394,6,6,36,36
395,9,8,27,26
396,10,9,27,27
397,10,10,26,24
398,7,7,31,30
399,10,9,23,23
400,0,0,0,0
401,9,9,21,23
402,8,8,22,25
403,5,5,37,40
404,6,6,34,32
405,8,10,24,24
406,4,2,56,54
407,9,9,33,33
408,7,7,37,37
409,6,6,34,32
410,8,8,24,24
411,11,10,26,23
412,7,7,25,26
413,6,6,31,30
414,10,10,22,22
415,11,11,21,22
416,8,7,25,24
417,8,8,23,24
418,10,10,20,23
419,9,10,23,22
420,10,10,20,21
421,7,7,27,29
422,7,7,28,28
423,9,9,24,23
424,8,7,31,29
425,8,8,22,24
426,8,8,22,24
427,9,9,23,23
428,8,8,26,28
429,6,6,34,31
430,9,8,23,21
431,6,6,34,34
432,6,6,30,31
433,9,9,27,27
434,10,10,20,20
435,11,10,20,20
436,7,6,29,30
437,10,10,20,20
438,7,8,28,27
439,9,9,26,26
440,8,8,24,25
441,8,6,26,26
442,6,6,30,31
443,7,7,35,32
444,6,6,30,30
445,8,9,31,27
446,8,8,26,23
447,9,9,25,23
448,8,8,25,25
449,7,7,27,26
450,8,8,26,26
451,12,12,19,18
452,11,10,21,21
453,7,7,23,25
454,8,9,21,21
455,7,7,25,26
456,8,8,24,24
457,7,7,28,26
458,12,13,17,21
459,4,4,45,45
460,5,4,48,46
461,7,7,27,29
462,6,10,26,34
463,10,11,19,21
464,10,9,22,21
465,5,5,37,39
466,5,5,41,44
467,6,6,30,30
468,8,7,29,28
469,10,10,23,21
470,10,10,20,21
471,10,10,20,21
472,5,5,39,34
473,9,9,24,23
474,10,10,20,20
475,9,9,24,24
476,4,4,44,42
477,6,6,32,30
478,9,9,28,26
479,12,11,19,19
480,9,7,25,23
481,6,5,33,33
482,10,9,21,22
483,9,9,24,23
484,10,11,19,21
485,5,5,29,32
486,3,3,47,45
487,9,8,23,23
488,6,6,34,29
489,10,10,20,21
490,10,10,20,20
491,10,9,21,22
492,9,9,23,22
493,5,5,37,38
494,4,4,56,53
495,8,8,26,24
496,11,12,18,19
497,8,9,25,26
498,10,9,23,22
499,10,10,24,25
500,6,6,30,30
501,4,3,75,69
502,12,11,22,20
503,8,8,22,23
504,7,6,28,32
505,9,10,22,23
506,6,6,34,34
507,10,10,22,21
508,8,9,25,24
509,7,7,29,31
510,6,7,35,35
511,7,6,24,28
512,6,6,28,28
513,7,7,25,25
514,8,7,35,32
515,9,5,47,29
516,5,5,37,38
517,10,10,20,20
518,6,5,28,27
519,8,7,25,25
520,6,6,24,24
521,5,5,31,31
522,9,9,24,24
523,5,5,43,43
524,7,7,23,23
525,6,5,35,34
526,8,8,28,28
527,7,7,27,30
528,5,5,46,49
529,7,8,24,24
530,8,8,27,25
531,6,6,24,27
532,5,5,41,40
533,6,6,29,30
534,10,11,19,19
535,10,10,20,18
536,5,5,35,33
537,8,8,30,28
538,10,10,22,21
539,8,8,26,26
540,6,6,26,31
541,5,5,41,39
542,7,7,35,33
543,10,10,20,21
544,7,7,25,25
545,4,4,50,50
546,13,12,20,20
547,9,9,21,22
548,9,8,27,24
549,10,10,21,19
550,4,4,36,35
551,5,5,49,49
552,11,10,22,21
553,9,11,19,23
554,6,6,24,25
555,6,6,29,30
556,9,8,24,28
557,7,7,29,28
558,6,6,37,40
559,5,5,38,35
560,9,8,22,22
561,7,7,25,27
562,8,9,23,25
563,8,8,31,30
564,6,6,30,28
565,8,8,24,24
566,8,6,30,28
567,5,5,37,39
568,10,10,23,23
569,5,5,31,32
570,6,6,44,39
571,6,6,36,34
572,8,8,28,29
573,5,5,35,34
574,5,5,27,30
575,6,7,29,30
576,9,9,23,23
577,6,6,34,34
578,9,9,21,22
579,8,7,26,25
580,10,11,19,19
581,9,8,23,23
582,9,8,22,26
583,11,11,19,19
584,6,7,47,42
585,8,8,29,27
586,8,7,23,24
587,7,7,26,25
588,6,6,39,38
589,13,13,17,19
590,7,8,22,28
591,8,9,27,28
592,5,5,32,30
593,10,9,21,21
594,4,2,59,65
595,12,13,17,20
596,8,7,23,23
597,5,5,31,30
598,9,10,20,21
599,9,9,25,22
600,6,6,30,31
601,9,9,21,22
602,9,8,29,25
603,6,6,30,33
604,9,9,23,23
605,8,8,24,22
606,9,9,24,24
607,9,8,26,27
608,5,5,41,42
609,8,11,19,22
610,5,4,44,38
611,6,6,31,30
612,9,11,19,23
613,4,7,43,47
614,9,8,24,23
615,10,10,22,23
616,5,5,33,34
617,10,10,24,25
618,9,11,23,25
619,4,4,38,41
620,10,9,23,22
621,10,10,26,26
622,7,7,28,26
623,6,6,30,30
624,8,7,25,25
625,7,7,25,25
626,6,6,27,25
627,8,8,32,30
628,6,5,31,28
629,8,8,34,33
630,6,5,35,34
631,6,6,31,30
632,5,5,50,45
633,6,5,42,37
634,8,8,29,27
635,8,8,29,30
636,5,5,29,33
637,6,6,34,34
638,11,11,19,19
639,6,6,34,31
640,8,8,24,24
641,7,7,31,30
642,6,6,36,33
643,7,7,31,30
644,8,8,24,22
645,12,13,17,19
646,5,5,47,48
647,10,10,20,21
648,8,8,22,24
649,8,11,29,42
650,5,5,29,31
651,5,5,33,33
652,9,11,23,25
653,7,8,28,29
654,10,10,24,21
655,6,6,30,31
656,8,8,25,26
657,6,7,31,32
658,5,5,30,31
659,9,8,28,25
660,11,11,19,20
661,5,5,49,47
662,6,7,34,35
663,7,7,32,30
664,6,6,24,23
665,3,3,44,46
666,10,10,20,20
667,4,4,38,45
668,11,19,19,28
669,10,10,20,21
670,11,12,24,24
671,5,5,28,29
672,8,7,37,35
673,10,11,21,20
674,8,8,22,25
675,6,7,32,31
676,7,7,27,25
677,7,7,29,28
678,9,9,21,24
679,8,8,24,28
680,7,7,31,30
681,10,9,21,23
682,12,12,18,19
683,6,8,40,45
684,7,6,32,31
685,10,10,20,21
686,7,7,26,28
687,7,5,33,29
688,7,7,23,23
689,11,10,23,22
690,7,6,32,32
691,7,7,29,28
692,7,7,27,29
693,9,9,24,22
694,11,10,20,20
695,9,11,19,22
696,7,7,33,32
697,9,9,21,24
698,5,5,27,31
699,10,9,23,24
700,8,8,28,30
701,7,4,43,40
702,7,7,27,26
703,6,6,50,51
704,10,10,23,24
705,9,9,27,26
706,11,11,19,19
707,7,6,26,25
708,6,6,35,40
709,7,7,27,24
710,8,9,25,28
711,11,10,20,20
712,12,11,19,19
713,6,6,26,27
714,12,13,17,19
715,4,4,48,47
716,9,9,25,24
717,9,9,23,24
718,9,9,21,21
719,8,8,28,25
720,10,10,20,20
721,6,7,33,32
722,9,8,24,23
723,7,7,23,25
724,11,14,16,19
725,5,5,36,36
726,6,10,35,34
727,7,8,28,29
728,9,19,19,30
729,10,9,22,22
730,11,11,20,18
731,6,6,30,30
732,7,7,26,26
733,9,9,24,25
734,8,8,28,31
735,8,7,31,27
736,7,7,25,26
737,7,7,25,27
738,5,5,43,44
739,6,6,34,34
740,6,6,26,27
741,10,10,20,20
742,10,10,20,21
743,12,11,23,23
744,6,5,37,36
745,7,7,25,25
746,9,8,28,25
747,5,5,33,33
748,10,10,26,26
749,5,5,33,37
750,11,9,25,22
751,5,5,37,34
752,9,9,22,22
753,9,9,21,24
754,11,10,20,18
755,12,13,17,20
756,5,5,43,46
757,8,8,31,30
758,10,11,21,20
759,9,10,21,22
760,8,8,24,26
761,6,6,26,28
762,8,7,25,26
763,4,4,44,46
764,10,10,26,27
765,8,8,26,28
766,4,3,31,37
767,8,9,27,25
768,9,9,25,24
769,10,9,21,21
770,8,8,35,36
771,5,5,34,33
772,6,7,27,28
773,8,7,30,30
774,9,9,21,22
775,7,7,30,29
776,9,8,22,23
777,4,4,47,50
778,6,5,33,29
779,7,7,26,26
780,12,11,21,19
781,6,2,86,54
782,8,8,25,26
783,8,8,28,28
784,8,8,26,27
785,6,6,24,26
786,5,5,47,46
787,8,8,25,25
788,5,6,39,39
789,7,7,30,30
790,8,6,26,26
791,6,6,34,34
792,4,4,42,41
793,6,6,26,28
794,12,11,19,18
795,7,7,27,28
796,5,5,49,47
797,7,7,26,30
798,7,7,32,29
799,8,8,22,22
800,6,6,30,30
801,6,6,28,28
802,4,4,43,43
803,11,11,19,20
804,7,7,23,25
805,9,8,28,27
806,10,10,20,20
807,7,7,25,25
808,4,4,54,53
809,8,7,29,31
810,4,3,39,40
811,7,6,28,27
812,7,7,26,28
813,6,6,28,29
814,10,11,19,21
815,6,6,30,35
816,3,3,53,51
817,10,10,20,21
818,5,5,45,40
819,6,6,35,36
820,8,7,23,25
821,9,9,23,22
822,10,10,20,20
823,8,6,30,25
824,6,7,26,31
825,5,5,39,38
826,8,8,40,30
827,7,7,27,25
828,10,10,22,23
829,6,5,41,38
830,5,5,36,38
831,10,10,22,23
832,7,7,35,31
833,7,6,24,24
834,10,9,21,23
835,8,8,32,28
836,10,11,23,25
837,7,7,23,23
838,9,9,23,25
839,8,7,27,27
840,14,14,16,17
841,4,4,64,64
842,9,10,23,26
843,6,8,28,28
844,4,2,68,56
845,6,6,34,37
846,3,3,55,53
847,10,11,19,21
848,4,4,51,54
849,7,7,35,34
850,6,6,36,36
851,7,7,29,31
852,7,7,27,28
853,8,7,26,27
854,9,9,25,25
855,10,11,19,25
856,10,10,20,20
857,7,6,28,35
858,8,7,25,26
859,12,11,19,19
860,8,8,29,26
861,7,7,27,28
862,7,7,25,27
863,6,6,27,30
864,8,8,23,26
865,6,6,33,32
866,7,7,35,29
867,7,7,25,23
868,8,8,27,25
869,5,4,52,52
870,4,4,62,60
871,6,6,30,32
872,8,8,24,25
873,5,6,34,32
874,10,11,23,23
875,10,9,24,21
876,7,7,29,29
877,6,6,39,40
878,9,7,25,25
879,9,9,21,20
880,11,10,26,24
881,4,3,45,46
882,8,8,22,24
883,3,2,86,68
884,10,10,20,20
885,6,6,32,31
886,5,5,41,46
887,8,9,35,35
888,6,4,44,35
889,7,7,29,29
890,4,4,44,41
891,10,10,23,24
892,9,9,23,23
893,11,10,20,19
894,8,12,28,30
895,8,9,27,28
896,7,7,24,26
897,8,8,25,24
898,6,6,34,35
899,6,6,26,25
900,9,9,21,22
901,6,6,28,27
902,8,8,25,24
903,7,7,32,29
904,8,8,30,28
905,6,6,35,32
906,6,6,36,36
907,11,12,21,20
908,8,8,26,23
909,9,9,24,23
910,14,12,18,18
911,10,11,19,24
912,6,6,28,33
913,7,7,27,27
914,6,5,27,29
915,6,6,26,28
916,5,5,37,36
917,9,8,28,28
918,8,8,28,27
919,9,8,24,26
920,5,5,36,35
921,7,6,26,26
922,9,10,23,24
923,7,7,26,25
924,7,7,25,25
925,9,8,23,24
926,8,8,25,26
927,8,8,22,22
928,7,6,26,25
929,7,7,41,39
930,11,13,17,25
931,7,7,36,35
932,8,8,29,29
933,5,5,33,33
934,5,5,31,33
935,9,10,26,25
936,5,7,38,44
937,11,11,21,25
938,6,6,30,30
939,9,8,32,32
940,4,4,60,57
941,7,7,29,26
942,6,6,28,33
943,7,6,28,29
944,3,3,46,48
945,9,9,23,24
946,8,8,28,31
947,1,0,0,3
948,5,5,44,41
949,8,8,28,28
950,8,8,26,27
951,6,6,32,33
952,12,12,18,18
953,8,8,25,25
954,8,7,23,30
955,9,9,25,27
956,6,6,29,26
957,11,9,27,25
958,7,7,27,26
959,9,10,21,21
960,6,6,34,34
961,5,5,29,29
962,9,9,24,23
963,10,11,19,19
964,4,4,42,40
965,9,9,21,19
966,5,5,39,34
967,7,7,25,25
968,8,8,28,27
969,8,8,24,23
970,5,5,30,29
971,3,3,53,47
972,9,8,28,27
973,6,6,28,31
974,8,8,26,25
975,8,9,21,26
976,8,10,29,30
977,8,8,22,22
978,6,6,50,44
979,4,4,29,32
980,9,9,25,25
981,10,10,26,22
982,6,7,23,24
983,9,8,24,23
984,7,7,28,27
985,10,9,23,22
986,6,6,31,27
987,9,9,25,27
988,6,6,30,30
