,h11_pred,h11_true,h21_pred,h21_true
0,9,9,21,22
1,7,7,23,24
2,7,7,26,26
3,6,6,50,48
4,6,7,29,28
5,7,7,29,29
6,5,5,47,46
7,6,6,30,29
8,10,9,21,20
9,8,8,24,25
10,8,8,25,23
11,7,5,29,30
12,5,5,34,35
13,5,5,31,31
14,6,6,26,30
15,10,10,20,22
16,5,5,44,41
17,4,4,53,53
18,14,15,15,19
19,8,6,26,23
20,6,6,28,27
21,7,8,22,23
22,8,8,25,24
23,4,4,36,36
24,10,11,21,22
25,5,5,25,26
26,5,5,39,39
27,6,6,30,32
28,6,6,24,26
29,10,10,20,23
30,7,7,38,39
31,6,6,30,32
32,8,8,22,22
33,7,8,32,30
34,4,4,34,35
35,6,6,24,26
36,8,8,26,25
37,5,5,41,44
38,5,5,37,37
39,9,9,22,21
40,7,7,29,28
41,9,8,22,22
42,6,6,31,32
43,8,8,28,27
44,7,7,27,26
45,9,10,23,24
46,6,6,41,41
47,6,7,47,48
48,10,10,20,20
49,8,8,34,35
50,7,7,28,26
51,6,6,26,29
52,12,12,20,20
53,6,6,24,23
54,8,8,22,24
55,6,5,27,30
56,6,6,29,29
57,7,7,29,29
58,10,10,20,20
59,6,6,34,33
60,8,8,26,28
61,12,13,17,17
62,7,7,31,31
63,5,5,37,41
64,11,12,18,18
65,3,3,39,43
66,5,5,35,33
67,8,8,25,25
68,8,8,23,23
69,5,5,31,30
70,7,8,22,25
71,7,7,29,29
72,8,8,23,23
73,7,7,26,25
74,5,4,44,42
75,4,4,30,33
76,7,7,23,24
77,9,7,33,28
78,8,8,24,27
79,5,5,55,51
80,10,11,21,22
81,10,10,20,21
82,6,7,35,35
83,8,8,22,23
84,7,7,25,26
85,3,3,51,50
86,6,6,30,30
87,6,6,24,26
88,7,7,29,31
89,13,14,16,17
90,7,7,27,30
91,9,9,21,22
92,6,6,32,33
93,9,9,25,25
94,10,10,24,23
95,8,8,26,26
96,6,6,28,28
97,5,5,35,35
98,9,9,21,21
99,6,6,24,26
100,6,6,42,39
101,8,8,24,26
102,7,7,24,23
103,7,7,41,41
104,6,6,32,32
105,6,6,31,32
106,7,7,33,34
107,6,6,31,32
108,5,5,37,40
109,6,6,33,34
110,9,9,23,23
111,5,5,41,43
112,5,5,35,35
113,7,7,27,28
114,6,6,39,40
115,10,10,20,20
116,7,9,23,23
117,8,8,28,28
118,7,7,38,39
119,8,8,26,28
120,9,11,19,20
121,11,11,19,19
122,3,3,55,52
123,9,9,21,21
124,8,8,28,29
125,8,8,31,30
126,7,7,29,27
127,5,5,43,44
128,5,5,37,36
129,5,5,35,34
130,8,8,28,28
131,9,9,21,21
132,5,5,37,33
133,7,8,31,32
134,7,7,29,30
135,8,8,25,24
136,7,7,29,29
137,8,8,28,28
138,9,9,21,22
139,8,8,27,27
140,8,7,29,27
141,8,8,22,23
142,5,5,33,32
143,5,5,35,34
144,5,5,31,33
145,8,8,30,29
146,8,8,27,26
147,8,8,24,24
148,8,8,30,30
149,5,6,34,33
150,9,9,24,23
151,6,6,29,29
152,6,6,32,32
153,6,6,28,27
154,9,10,20,20
155,4,4,46,44
156,6,6,32,34
157,8,8,26,27
158,7,7,31,26
159,11,11,19,18
160,7,7,29,27
161,9,9,21,22
162,7,7,26,26
163,4,4,38,39
164,4,4,50,49
165,8,8,26,26
166,6,6,31,29
167,9,9,27,25
168,7,7,31,34
169,11,11,19,19
170,4,4,39,39
171,9,9,21,21
172,6,6,26,28
173,4,4,53,57
174,10,10,23,23
175,7,7,23,26
176,4,4,40,40
177,10,9,24,23
178,6,6,26,27
179,10,9,21,20
180,5,5,43,44
181,12,11,19,22
182,12,13,17,19
183,6,6,29,29
184,3,3,39,36
185,8,8,23,24
186,10,10,20,22
187,4,4,54,56
188,6,6,34,32
189,5,5,35,35
190,8,7,23,23
191,7,6,29,29
192,10,11,31,32
193,10,10,23,23
194,5,8,35,52
195,6,6,30,31
196,9,9,21,21
197,7,7,29,29
198,8,7,23,24
199,8,8,24,27
200,4,4,40,38
201,9,9,31,30
202,5,6,26,27
203,7,7,43,32
204,9,9,21,21
205,10,10,20,20
206,7,7,32,29
207,8,8,26,27
208,12,11,19,19
209,6,6,27,27
210,9,9,21,21
211,3,3,60,62
212,6,6,37,38
213,8,8,25,25
214,10,11,21,22
215,9,9,26,23
216,9,9,25,26
217,9,9,25,24
218,9,9,21,23
219,5,5,42,42
220,7,7,31,28
221,7,7,23,23
222,7,7,27,32
223,9,10,20,19
224,4,4,42,40
225,8,7,31,28
226,11,12,20,22
227,5,4,44,43
228,8,7,29,28
229,3,3,53,54
230,12,12,18,15
231,10,10,20,22
232,7,7,33,30
233,11,11,19,20
234,7,7,29,26
235,6,6,37,34
236,4,6,51,50
237,8,8,26,26
238,7,7,25,24
239,7,7,25,27
240,6,6,34,35
241,5,5,30,30
242,9,9,28,26
243,5,5,33,35
244,5,5,31,29
245,10,9,25,23
246,6,6,27,26
247,7,7,27,27
248,10,10,20,19
249,8,9,21,21
250,9,9,21,21
251,8,8,22,22
252,5,4,32,33
