,h11_pred,h11_true,h21_pred,h21_true
0,7,7,29,29
1,8,8,28,28
2,9,9,21,19
3,9,9,23,22
4,6,6,30,29
5,8,8,24,24
6,8,8,26,25
7,6,6,26,25
8,11,11,19,20
9,6,6,38,36
10,6,8,31,29
11,6,6,26,27
12,10,11,19,21
13,7,7,25,26
14,7,7,25,26
15,5,6,24,28
16,6,6,33,34
17,6,6,34,32
18,5,5,37,36
19,7,7,25,25
20,7,9,29,29
21,9,9,23,23
22,8,8,28,28
23,6,6,29,28
24,7,9,25,27
25,14,14,18,19
26,7,7,25,25
27,8,8,29,27
28,9,9,21,22
29,8,8,26,24
30,8,8,32,30
31,9,8,22,23
32,6,6,30,30
33,8,8,28,27
34,11,10,26,22
35,9,10,23,22
36,7,7,27,26
37,7,7,29,28
38,8,8,22,25
39,6,6,32,32
40,7,7,29,27
41,8,8,22,22
42,5,5,39,40
43,7,7,31,30
44,9,9,21,21
45,8,8,32,34
46,4,4,37,37
47,3,3,49,51
48,7,7,29,30
49,9,9,22,22
50,8,8,27,26
51,8,8,22,23
52,6,6,30,32
53,10,11,19,19
54,6,6,30,32
55,8,11,25,25
56,7,7,35,35
57,4,4,38,38
58,11,9,25,25
59,3,3,47,46
60,6,6,32,32
61,10,10,26,24
62,13,12,18,20
63,9,10,24,26
64,8,8,32,32
65,9,10,20,20
66,6,6,34,33
67,10,10,20,19
68,9,9,21,23
69,10,10,20,20
70,7,7,30,32
71,6,6,24,28
72,4,4,40,41
73,11,11,19,20
74,6,6,34,33
75,5,5,35,35
76,9,9,21,21
77,4,4,34,35
78,10,10,22,23
79,8,8,25,24
80,8,9,25,27
81,5,5,41,39
82,5,5,32,33
83,5,5,37,35
84,8,9,27,26
85,9,10,22,24
86,6,6,28,25
87,9,9,21,22
88,11,11,23,22
89,10,10,20,22
90,6,6,36,36
91,8,8,26,26
92,7,7,28,28
93,8,8,22,22
94,8,9,26,28
95,8,7,25,25
96,9,8,26,25
97,9,9,23,22
98,5,5,45,43
99,6,6,30,30
100,7,7,28,27
101,9,9,21,21
102,8,8,26,27
103,6,6,29,29
104,9,10,24,23
105,7,7,29,29
106,6,8,34,33
107,5,5,41,41
108,7,6,36,40
109,5,5,34,34
110,9,9,21,22
111,6,6,26,26
112,9,9,23,22
113,7,7,27,27
114,9,9,21,21
115,9,10,20,21
116,8,9,27,27
117,9,9,21,22
118,9,9,23,23
119,8,9,25,27
120,6,6,54,52
