,h11_pred,h11_true
0,7,7
1,8,8
2,9,9
3,9,9
4,6,6
5,8,8
6,8,8
7,6,6
8,11,11
9,6,6
10,7,8
11,6,6
12,11,11
13,7,7
14,7,7
15,5,6
16,6,6
17,6,6
18,5,5
19,7,7
20,9,9
21,10,9
22,8,8
23,6,6
24,8,9
25,13,14
26,7,7
27,8,8
28,9,9
29,8,8
30,8,8
31,9,8
32,6,6
33,8,8
34,12,10
35,9,10
36,7,7
37,7,7
38,8,8
39,6,6
40,7,7
41,8,8
42,5,5
43,7,7
44,9,9
45,8,8
46,4,4
47,3,3
48,7,7
49,9,9
50,8,8
51,8,8
52,6,6
53,11,11
54,6,6
55,10,11
56,7,7
57,4,4
58,9,9
59,3,3
60,6,6
61,10,10
62,12,12
63,10,10
64,8,8
65,10,10
66,6,6
67,11,10
68,9,9
69,10,10
70,7,7
71,6,6
72,4,4
73,11,11
74,6,6
75,5,5
76,9,9
77,4,4
78,10,10
79,8,8
80,8,9
81,5,5
82,5,5
83,5,5
84,9,9
85,10,10
86,6,6
87,9,9
88,11,11
89,11,10
90,6,6
91,8,8
92,7,7
93,8,8
94,8,9
95,7,7
96,8,8
97,9,9
98,5,5
99,6,6
100,7,7
101,9,9
102,8,8
103,6,6
104,10,10
105,7,7
106,8,8
107,5,5
108,6,6
109,5,5
110,9,9
111,6,6
112,9,9
113,7,7
114,9,9
115,10,10
116,10,9
117,9,9
118,9,9
119,8,9
120,6,6
121,8,8
122,8,8
123,6,6
124,5,5
125,5,5
126,9,9
127,10,10
128,7,7
129,15,15
130,6,6
131,9,9
132,9,9
133,12,13
134,6,6
135,8,8
136,7,7
137,8,6
138,7,7
139,6,6
140,9,10
141,8,8
142,9,8
143,5,5
144,10,9
145,6,6
146,7,8
147,7,6
148,4,4
149,4,4
150,7,7
151,8,8
152,6,6
153,6,6
154,8,8
155,5,5
156,3,2
157,6,6
158,10,8
159,4,4
160,10,11
161,4,4
162,8,10
163,6,6
164,10,13
165,5,5
166,10,10
167,8,8
168,5,5
169,7,7
170,6,6
171,8,7
172,8,8
173,9,9
174,8,8
175,6,7
176,11,11
177,6,8
178,5,5
179,3,3
180,8,8
181,9,9
182,9,9
183,7,8
184,7,7
185,9,9
186,5,5
187,6,6
188,0,5
189,7,7
190,7,7
191,6,6
192,6,6
193,6,6
194,7,7
195,9,9
196,5,5
197,11,10
198,12,12
199,8,19
200,6,6
201,9,9
202,10,12
203,7,7
204,6,6
205,8,8
206,9,9
207,5,5
208,8,8
209,7,7
210,4,4
211,5,5
212,7,7
213,7,7
214,8,8
215,5,5
216,9,10
217,10,10
218,6,6
219,7,8
220,7,7
221,9,9
222,6,6
223,9,9
224,7,7
225,9,9
226,7,7
227,8,7
228,6,7
229,4,4
230,6,6
231,9,9
232,7,7
233,6,6
234,5,5
235,7,7
236,7,7
237,6,6
238,6,6
239,7,8
240,5,5
241,8,8
242,8,8
243,8,8
244,13,14
245,8,8
246,7,7
247,8,8
248,9,8
249,9,9
250,8,8
251,8,8
252,7,7
253,7,7
254,6,6
255,6,6
256,7,7
257,5,5
258,12,12
259,7,7
260,9,9
261,3,3
262,5,5
263,10,10
264,12,11
265,6,6
266,6,6
267,6,6
268,6,6
269,10,10
270,8,8
271,6,6
272,8,8
273,10,10
274,7,8
275,8,7
276,8,8
277,3,3
278,6,6
279,5,5
280,6,6
281,8,8
282,5,5
283,4,4
284,9,9
285,8,8
286,8,8
287,9,12
288,7,7
289,11,10
290,7,7
291,5,5
292,11,12
293,7,7
294,7,7
295,11,10
296,6,6
297,7,7
298,5,5
299,5,7
300,6,6
301,5,7
302,8,8
303,8,8
304,8,8
305,8,8
306,8,8
307,6,6
308,10,10
309,10,11
310,4,4
311,8,8
312,9,10
313,8,8
314,9,8
315,3,3
316,5,5
317,6,6
318,6,6
319,6,6
320,7,7
321,8,8
322,8,7
323,5,5
324,8,8
325,5,5
326,9,9
327,9,9
328,9,9
329,4,4
330,5,6
331,6,6
332,8,8
333,8,9
334,6,6
335,9,8
336,8,8
337,7,7
338,5,5
339,6,6
340,10,10
341,8,8
342,6,6
343,9,8
344,9,9
345,10,11
346,7,7
347,6,6
348,10,10
349,7,7
350,5,5
351,10,10
352,9,10
353,4,4
354,9,9
355,7,7
356,9,9
357,9,9
358,7,8
359,3,3
360,7,7
361,8,8
362,7,7
363,8,8
364,11,12
365,7,7
366,11,10
367,4,4
368,11,11
