,h11_pred,h11_true,h21_pred,h21_true
0,7,6,30,30
1,9,10,25,23
2,6,6,29,32
3,9,10,22,22
4,7,8,26,26
5,5,9,33,25
6,8,8,23,23
7,8,8,25,24
8,8,8,23,24
9,9,12,31,28
10,7,7,26,23
11,7,7,28,26
12,9,10,22,26
13,7,6,31,32
14,8,8,24,26
15,6,6,30,34
16,10,11,23,19
17,7,11,22,19
18,8,12,23,20
19,9,9,23,24
20,7,6,32,34
21,7,7,27,30
22,8,10,23,22
23,7,7,26,28
24,7,7,26,29
25,7,9,30,29
26,5,5,34,35
27,9,9,22,23
28,9,8,23,28
29,4,4,42,36
30,6,6,26,28
31,6,6,28,24
32,5,5,37,47
33,10,11,22,19
34,6,8,28,34
35,7,7,27,33
36,6,6,31,28
37,7,7,29,25
38,9,11,22,19
39,10,10,21,20
40,6,6,29,26
41,10,10,23,20
42,7,7,27,38
43,9,9,22,21
44,4,4,39,38
45,6,6,30,32
46,9,9,22,22
47,7,6,31,35
48,6,6,29,36
49,4,4,38,44
50,7,9,26,21
51,6,8,26,26
52,5,5,29,27
53,9,8,23,24
54,7,10,25,20
55,10,11,22,19
56,6,6,32,37
57,8,8,24,25
58,5,5,36,27
59,5,5,32,34
60,9,8,23,24
61,10,10,21,20
62,10,9,22,21
63,7,7,29,26
64,8,6,32,42
65,9,8,23,25
66,9,9,22,21
67,5,5,35,37
68,5,5,36,37
69,10,14,23,16
70,6,6,28,28
71,6,6,30,33
72,7,7,24,23
73,9,8,24,25
74,7,7,26,29
75,5,5,31,39
76,6,6,29,24
77,7,8,30,26
78,7,11,25,19
79,7,8,25,25
80,8,9,27,23
81,7,7,26,28
82,8,10,26,22
83,6,8,33,26
84,5,5,36,37
85,8,11,26,23
86,7,7,27,27
87,7,7,26,25
88,6,9,29,25
89,7,7,26,27
90,6,6,29,36
91,7,8,26,29
92,7,7,28,39
93,10,10,21,20
94,7,7,25,24
95,6,8,29,25
96,7,8,27,29
97,5,4,49,44
98,5,5,36,44
99,6,6,29,26
100,4,5,37,41
101,9,10,23,20
102,10,9,22,21
103,6,6,29,30
104,5,7,34,49
105,8,8,23,22
106,4,10,41,26
107,4,4,42,44
108,7,9,27,23
109,7,9,28,24
110,10,9,21,21
111,7,8,26,24
112,7,7,25,29
113,5,6,35,46
114,5,5,31,29
115,6,6,26,26
116,10,11,21,19
117,8,8,23,22
118,9,12,26,18
119,9,9,22,21
120,8,8,24,27
121,7,6,31,26
122,6,6,28,30
123,7,11,24,21
124,5,5,35,35
125,9,10,22,22
126,9,9,22,22
127,7,7,26,23
128,7,7,25,25
129,5,5,34,47
130,10,10,21,20
131,6,6,28,26
132,7,7,27,29
133,6,6,30,43
134,5,5,36,35
135,4,4,44,53
136,9,12,23,18
137,6,5,36,53
138,10,9,22,23
139,6,11,34,28
140,10,13,21,17
141,7,7,30,33
142,3,3,52,49
143,6,7,30,23
144,9,8,22,24
145,8,8,23,22
146,7,7,29,31
147,8,8,23,26
148,7,6,32,34
149,9,8,23,27
150,5,5,35,29
151,9,11,24,19
152,10,12,21,18
153,9,10,23,21
154,4,4,41,42
155,5,3,51,75
156,7,7,27,23
157,7,7,27,27
158,4,4,39,38
159,5,5,35,33
160,2,2,70,68
161,6,5,36,37
162,10,9,21,21
163,7,7,25,23
164,8,9,24,24
165,5,5,36,41
166,5,5,35,30
167,5,4,41,44
168,8,8,23,23
169,7,7,26,28
170,7,6,33,37
171,9,9,24,21
172,6,6,28,29
173,6,6,32,41
174,9,8,23,24
175,4,4,41,40
176,9,9,24,21
177,7,8,33,28
178,10,11,22,19
179,9,9,23,21
180,5,5,35,38
181,3,3,48,43
182,8,8,24,22
183,7,10,28,25
184,7,7,26,29
185,9,10,28,23
186,8,12,28,18
187,8,8,23,32
188,7,7,26,27
189,8,8,24,27
190,6,6,29,36
191,9,9,22,23
192,8,9,28,27
193,6,6,29,30
194,9,8,23,22
195,7,8,26,28
196,7,6,30,34
197,7,7,26,33
198,8,8,23,22
199,4,4,39,40
200,9,9,23,21
201,10,10,21,20
202,9,9,23,24
203,9,9,22,22
204,4,4,38,36
205,7,7,27,32
206,7,10,29,20
207,4,4,40,40
208,3,5,41,43
209,6,6,31,31
210,9,8,23,28
211,7,6,28,32
212,7,8,26,29
213,5,5,33,35
214,6,7,38,23
215,10,10,22,20
216,10,14,24,18
217,8,7,29,23
218,5,5,34,29
219,9,10,28,20
220,5,5,36,39
221,5,5,34,33
222,7,7,29,27
223,5,5,36,53
224,9,9,24,26
225,9,9,23,21
226,7,7,26,27
227,7,7,25,24
228,7,7,26,29
229,6,6,29,30
230,7,6,33,32
231,7,8,27,28
232,8,8,23,24
233,7,7,26,25
234,5,5,35,40
235,7,7,25,24
236,9,11,23,19
237,6,9,29,23
238,7,10,28,22
239,10,11,22,21
240,5,5,33,27
241,7,7,27,29
242,7,6,28,34
243,5,5,34,35
244,2,8,70,35
245,9,11,22,19
246,4,4,40,44
247,8,8,24,25
248,6,6,34,34
249,8,8,24,23
250,6,6,31,31
251,6,6,28,31
252,8,9,25,27
253,7,6,30,32
254,10,10,21,22
255,10,11,23,20
256,7,8,26,26
257,9,9,21,21
258,8,11,23,19
259,5,7,31,29
260,4,4,36,34
261,8,8,23,26
262,8,8,22,22
263,2,2,67,68
264,9,9,28,25
265,5,5,34,31
266,9,9,28,27
267,5,5,34,35
268,8,8,23,26
269,7,7,29,31
270,7,8,27,24
271,7,7,26,31
272,7,6,30,28
273,6,6,30,26
274,5,5,40,55
275,8,8,23,23
276,9,12,23,22
277,7,7,24,25
278,8,8,23,22
279,5,8,34,28
280,9,9,27,25
281,7,7,25,25
282,4,4,45,60
283,9,8,23,23
284,4,4,41,44
285,6,6,31,35
286,4,4,41,44
287,7,11,26,19
288,7,7,29,26
289,8,8,23,22
290,6,6,32,34
291,7,7,30,47
292,7,8,34,26
293,7,7,28,31
294,8,8,24,22
295,6,8,29,28
296,7,6,28,24
297,6,6,30,30
298,8,11,22,19
299,3,3,40,45
300,4,4,37,26
301,5,5,34,40
302,7,6,33,35
303,7,7,25,31
304,10,13,22,17
305,7,7,26,25
306,7,8,27,35
307,7,8,30,26
308,9,10,24,30
309,6,8,31,22
310,8,8,23,22
311,4,4,44,50
312,8,13,25,17
313,9,9,22,24
314,6,6,30,30
315,6,6,33,36
316,8,8,23,24
317,7,7,29,29
318,6,5,36,37
319,7,7,30,34
320,8,7,26,31
321,7,6,28,30
322,9,9,24,27
323,8,8,24,24
324,8,6,30,30
325,7,6,31,34
326,7,7,26,32
327,8,8,24,24
328,7,7,26,30
329,8,8,24,24
330,5,5,32,33
331,6,6,29,27
332,4,4,37,42
333,9,10,24,21
334,3,3,49,50
335,5,5,36,43
336,6,6,32,28
337,6,6,33,32
338,10,13,22,17
339,10,10,22,20
340,4,4,45,51
341,9,9,22,21
342,6,6,28,30
343,8,8,24,24
344,5,4,49,53
345,4,4,42,44
346,6,6,32,33
347,9,9,23,24
348,7,7,27,29
349,8,8,24,24
350,9,8,23,28
351,9,10,22,20
352,8,8,25,31
353,7,7,26,23
354,8,6,29,26
355,7,6,31,36
356,7,9,28,21
357,7,5,30,39
358,7,7,25,26
359,8,8,23,26
360,5,5,33,45
361,7,7,27,28
362,7,8,25,26
363,6,6,32,33
364,9,9,22,21
365,7,8,26,26
366,5,5,35,43
367,3,3,60,60
368,4,4,39,46
369,9,9,23,21
370,9,11,26,19
371,7,12,28,20
372,8,11,25,21
373,9,10,22,23
374,8,10,27,23
375,7,7,25,29
376,8,12,26,18
377,7,9,26,27
378,9,9,23,21
379,10,11,25,19
380,7,9,25,25
381,5,5,38,45
382,8,10,26,20
383,6,6,30,31
384,7,8,26,26
385,7,6,33,34
386,10,11,23,23
387,7,9,25,25
388,7,7,26,23
389,10,11,23,22
390,4,4,41,38
391,7,6,30,28
392,6,6,28,27
393,6,6,29,30
394,7,8,25,26
395,3,3,40,43
396,9,8,24,25
397,6,6,32,37
398,7,7,24,25
399,6,5,32,34
400,7,7,29,35
401,8,8,25,28
402,9,9,22,21
403,9,11,22,21
404,6,6,31,37
405,6,5,34,35
406,4,4,40,44
407,6,8,29,30
408,7,6,32,36
409,7,7,25,27
410,7,7,29,37
411,7,8,35,32
412,9,8,25,25
413,6,6,31,36
414,6,6,29,30
415,6,8,27,26
416,7,7,26,23
417,7,10,28,20
418,6,6,30,29
419,8,10,26,23
420,4,4,36,36
421,9,9,23,25
422,7,6,31,31
423,7,6,29,30
424,9,9,23,21
425,9,9,28,25
426,9,10,24,26
427,9,9,22,26
428,6,6,29,32
429,6,6,29,24
430,8,12,24,21
431,7,11,28,25
432,6,6,29,32
433,8,10,24,20
434,5,5,35,45
435,6,6,30,32
436,8,8,22,22
437,8,10,23,20
438,10,10,26,24
439,7,7,26,37
440,5,5,30,36
441,4,4,43,45
442,7,6,31,32
443,10,9,21,23
444,6,6,30,32
445,5,8,33,32
446,5,5,36,39
447,8,8,25,32
448,5,5,37,37
449,6,6,32,33
450,10,11,24,19
451,7,7,29,31
452,6,6,28,28
453,6,6,29,26
454,5,5,36,42
455,9,9,27,25
456,9,8,23,25
457,7,8,27,40
458,6,6,29,32
459,8,8,24,25
460,10,9,21,23
461,9,9,22,21
462,8,8,23,24
463,9,9,22,23
464,6,5,33,34
465,6,6,28,28
466,5,5,34,31
467,4,5,44,59
468,7,6,28,25
469,9,10,25,20
470,5,5,32,27
471,5,5,36,51
472,5,5,32,27
473,5,5,35,41
474,6,8,29,30
475,7,9,30,29
476,5,4,42,46
477,7,7,26,31
478,7,7,27,23
479,6,6,30,26
480,8,11,23,19
481,3,3,48,55
482,3,3,42,41
483,6,6,32,37
484,5,5,35,37
485,7,8,27,26
486,8,8,23,24
487,7,6,32,34
488,9,8,25,25
489,7,8,26,28
490,6,6,31,29
491,7,7,27,29
492,9,12,25,18
493,5,5,36,43
494,5,5,35,33
495,5,5,35,42
496,8,11,23,19
497,8,7,26,25
498,6,6,29,32
499,7,8,27,25
500,7,7,30,29
501,7,6,31,38
502,7,6,28,30
503,5,5,35,39
504,4,4,44,44
505,9,11,23,19
506,9,8,23,24
507,10,10,23,20
508,7,8,27,30
509,2,2,70,56
510,8,8,25,28
511,7,7,27,25
512,4,4,44,60
513,6,6,30,42
514,6,5,32,37
515,8,8,23,23
516,7,7,30,43
517,8,8,23,22
518,6,6,29,26
519,7,7,27,26
520,7,7,29,27
521,8,8,25,31
522,5,7,32,35
523,7,7,26,29
524,7,7,26,27
525,5,5,36,39
526,4,5,37,43
527,8,8,23,22
528,5,7,36,32
529,9,10,23,20
530,6,6,28,28
531,10,10,24,22
532,7,5,34,44
533,9,9,22,23
534,4,4,38,52
535,5,5,37,43
536,10,13,21,17
537,5,7,33,23
538,6,6,28,28
539,9,9,23,23
540,9,11,22,19
541,9,12,23,18
542,6,6,31,30
543,6,6,33,31
544,4,4,39,48
545,9,10,25,24
546,4,4,40,34
547,7,9,28,25
548,7,7,29,37
549,10,13,22,17
550,9,9,28,25
551,7,7,27,27
552,5,5,33,41
553,7,6,33,36
554,8,8,23,23
555,10,11,22,19
556,8,8,24,27
557,8,8,24,26
558,9,9,22,21
559,8,7,25,24
560,9,9,23,21
561,8,5,31,29
562,7,9,28,21
563,10,10,22,22
564,10,10,21,20
565,7,8,26,27
566,10,10,21,20
567,7,7,27,29
568,4,4,44,56
569,6,7,30,31
570,5,4,45,54
571,5,5,35,46
572,8,10,25,20
573,9,9,22,21
574,7,6,28,24
575,9,11,26,19
576,6,13,31,17
577,10,14,24,18
578,7,7,26,23
579,6,6,32,32
