,h11_pred,h11_true,h21_pred,h21_true
0,9,8,24,22
1,6,8,29,34
2,8,8,24,22
3,7,8,27,26
4,6,6,29,30
5,9,8,24,25
6,6,6,31,34
7,7,6,35,45
8,8,6,31,30
9,5,4,40,52
10,7,8,27,26
11,9,10,25,22
12,9,9,22,24
13,7,7,25,23
14,6,7,31,27
15,9,12,22,18
16,5,5,34,36
17,9,8,23,29
18,8,9,26,25
19,7,6,30,32
20,5,5,40,56
21,6,6,31,33
22,9,9,28,25
23,7,6,29,32
24,4,4,41,46
25,8,8,25,22
26,10,11,23,19
27,6,6,32,40
28,9,9,27,25
29,6,5,33,37
30,7,7,30,25
31,9,9,24,26
32,9,8,23,22
33,5,5,32,31
34,6,6,30,27
35,6,6,29,29
36,5,5,34,31
37,5,5,35,41
38,9,10,23,20
39,8,8,24,24
40,6,6,29,24
41,7,8,26,29
42,7,7,28,29
43,7,9,25,25
44,9,9,23,23
45,8,11,23,20
46,9,8,23,24
47,7,6,28,27
48,6,6,30,28
49,7,10,25,20
50,5,4,43,38
51,10,10,21,20
52,8,10,24,23
53,9,10,25,22
54,7,7,26,31
55,6,7,32,23
56,8,9,23,27
57,4,4,39,38
58,4,6,38,45
59,9,8,23,32
60,8,9,26,33
61,7,7,27,23
62,9,9,23,21
63,4,4,46,44
64,5,5,35,41
65,7,6,31,38
66,5,5,37,31
67,7,7,27,30
68,5,5,34,35
69,10,10,21,20
70,6,9,35,27
71,7,7,30,31
72,7,8,26,30
73,7,7,26,29
74,5,5,36,37
75,7,9,29,27
76,7,9,29,25
77,5,5,35,51
78,6,6,34,33
79,6,19,45,19
80,9,8,23,22
81,5,5,34,35
82,5,5,35,51
83,6,6,30,28
84,7,8,30,25
85,10,11,22,19
86,7,6,31,29
87,8,8,24,25
88,7,7,25,25
89,8,8,24,24
90,6,6,31,36
91,4,3,42,47
92,6,5,35,31
93,7,8,34,28
94,9,9,21,21
95,6,6,29,38
96,8,7,25,27
97,7,7,26,29
98,5,5,32,34
99,5,5,34,45
100,9,11,23,19
101,7,7,27,33
102,7,8,31,26
103,7,7,26,30
104,8,8,24,26
