,h11_pred,h11_true
0,8,8
1,7,8
2,8,8
3,7,8
4,6,6
5,8,8
6,6,6
7,6,6
8,7,6
9,4,4
10,7,8
11,10,10
12,9,9
13,7,7
14,6,7
15,11,12
16,5,5
17,9,8
18,9,9
19,6,6
20,5,5
21,6,6
22,9,9
23,6,6
24,5,4
25,8,8
26,11,11
27,6,6
28,9,9
29,5,5
30,7,7
31,9,9
32,8,8
33,5,5
34,6,6
35,6,6
36,5,5
37,5,5
38,11,10
39,8,8
40,6,6
41,8,8
42,7,7
43,9,9
44,9,9
45,9,11
46,8,8
47,7,6
48,6,6
49,8,10
50,4,4
51,10,10
52,9,10
53,10,10
54,7,7
55,7,7
56,9,9
57,4,4
58,6,6
59,8,8
60,8,9
61,7,7
62,9,9
63,4,4
64,5,5
65,6,6
66,5,5
67,7,7
68,5,5
69,9,10
70,9,9
71,8,7
72,8,8
73,8,7
74,5,5
75,8,9
76,8,9
77,5,5
78,6,6
79,7,19
80,7,8
81,5,5
82,5,5
83,7,6
84,8,8
85,11,11
86,6,6
87,8,8
88,8,7
89,8,8
90,6,6
91,3,3
92,6,5
93,7,8
94,9,9
95,6,6
96,8,7
97,7,7
98,5,5
99,5,5
100,9,11
101,7,7
102,7,8
103,7,7
104,8,8
105,7,9
106,4,3
107,5,5
108,7,5
109,10,11
110,9,9
111,7,9
112,9,9
113,5,7
114,6,6
115,9,9
116,8,8
117,7,7
118,5,5
119,10,10
120,7,8
121,8,8
122,6,6
123,7,7
124,5,5
125,7,7
126,7,6
127,11,11
128,9,7
129,7,7
130,7,7
131,7,7
132,9,9
133,5,5
134,4,6
135,6,6
136,7,7
137,12,13
138,7,7
139,3,3
140,9,10
141,4,4
142,6,6
143,10,10
144,5,5
145,5,5
146,5,5
147,7,7
148,7,7
149,9,9
150,6,8
151,8,9
152,10,10
153,7,7
154,7,7
155,10,10
156,8,7
157,12,12
158,6,6
159,10,9
160,4,4
161,5,0
162,9,10
163,9,7
164,5,5
165,5,5
166,8,8
167,7,7
168,10,8
169,9,9
170,9,9
171,6,6
172,5,5
173,9,8
174,7,8
175,5,5
176,10,10
177,10,13
178,12,13
179,5,5
180,6,6
181,9,11
182,11,11
183,7,7
184,7,7
185,9,9
186,9,9
187,7,7
188,9,9
189,7,6
190,7,8
191,10,10
192,7,8
193,7,10
194,6,6
195,10,11
196,6,6
197,8,8
198,4,4
199,4,4
200,7,7
201,8,8
202,10,11
203,9,9
204,5,5
205,6,6
206,9,9
207,7,7
208,9,9
209,4,4
210,7,7
211,8,9
212,8,8
213,9,7
214,9,9
215,7,7
216,11,11
217,5,5
218,10,12
219,6,6
220,10,10
221,5,5
222,6,6
223,7,7
224,6,6
225,9,9
226,7,7
227,10,10
228,8,7
229,10,10
230,5,8
231,8,8
232,9,9
233,11,11
234,7,8
235,6,6
236,7,7
237,9,8
238,9,9
239,2,3
240,8,8
241,6,6
242,8,8
243,7,7
244,6,6
245,8,7
246,8,8
247,4,4
248,6,7
249,9,10
250,9,8
251,6,6
252,13,14
253,9,8
254,8,8
255,9,8
256,10,10
257,6,6
258,8,9
259,7,7
260,7,9
261,7,9
262,5,5
263,7,7
264,6,6
265,8,8
266,4,4
267,8,8
268,6,8
269,11,11
270,7,7
271,10,9
272,5,5
273,9,9
274,6,6
275,8,9
276,11,11
277,5,5
278,10,10
279,10,10
280,7,7
281,7,7
282,3,9
283,8,9
284,3,3
285,5,4
286,7,7
287,7,7
288,7,7
289,7,7
290,10,11
291,5,5
292,9,10
293,7,7
294,5,5
295,7,7
296,7,7
297,7,7
298,6,6
299,5,4
300,9,9
301,5,5
302,9,8
303,8,8
304,8,7
305,7,7
306,8,8
307,9,8
308,7,7
309,8,8
310,7,7
311,8,8
312,8,8
313,11,12
314,6,6
315,7,6
316,8,8
317,7,7
318,3,3
319,12,12
320,6,6
321,10,10
322,10,10
323,5,4
324,8,8
325,4,0
326,7,8
327,8,8
328,10,9
329,9,8
330,7,7
331,5,5
332,10,10
333,12,14
334,9,9
335,9,8
336,9,11
337,5,5
338,8,8
339,8,9
340,7,7
341,7,8
342,6,6
343,10,10
344,3,3
345,7,6
346,6,6
347,9,9
348,8,8
349,8,6
350,6,8
351,7,6
352,4,4
353,10,10
354,7,7
355,7,7
356,8,9
357,7,7
358,7,6
359,9,8
360,10,10
361,7,7
362,11,13
363,9,8
364,9,10
365,5,5
366,7,7
367,6,6
368,6,6
369,7,7
370,6,6
371,8,8
